account_id,bank_name,is_mule,entity_id,times_flagged,initial_risk_score
ACC_1001,Paytm PB,True,ENT_01,4,0.89
ACC_1002,Axis,True,ENT_10,8,0.62
ACC_1003,SBI,True,ENT_14,5,0.83
ACC_1004,Axis,True,ENT_04,6,0.97
ACC_1005,Paytm PB,True,ENT_10,4,0.84
ACC_1006,Paytm PB,True,ENT_10,13,0.96
ACC_1007,ICICI,True,ENT_12,10,0.7
ACC_1008,ICICI,True,ENT_11,17,0.72
ACC_1009,HDFC,False,,0,0.05
ACC_1010,HDFC,True,ENT_10,5,0.81
ACC_1011,ICICI,True,ENT_03,5,0.94
ACC_1012,Axis,True,ENT_03,12,0.84
ACC_1013,Kotak,False,,0,0.05
ACC_1014,ICICI,True,ENT_09,6,0.97
ACC_1015,HDFC,True,ENT_02,7,0.71
ACC_1016,ICICI,True,ENT_12,9,0.87
ACC_1017,Paytm PB,False,,1,0.05
ACC_1018,HDFC,True,ENT_14,5,0.85
ACC_1019,HDFC,False,,0,0.05
ACC_1020,Kotak,True,ENT_03,11,0.66
ACC_1021,Axis,True,ENT_12,3,0.64
ACC_1022,Kotak,False,,0,0.05
ACC_1023,ICICI,True,ENT_14,7,0.77
ACC_1024,HDFC,True,ENT_06,14,0.68
ACC_1025,ICICI,True,ENT_02,16,0.98
ACC_1026,SBI,True,ENT_04,8,0.94
ACC_1027,ICICI,True,ENT_12,16,0.91
ACC_1028,SBI,False,,1,0.05
ACC_1029,HDFC,True,ENT_12,15,0.94
ACC_1030,SBI,False,,0,0.05
ACC_1031,Axis,False,,1,0.05
ACC_1032,SBI,True,ENT_13,10,0.61
ACC_1033,ICICI,True,ENT_06,5,0.98
ACC_1034,Paytm PB,True,ENT_11,15,0.87
ACC_1035,ICICI,False,,0,0.05
ACC_1036,SBI,True,ENT_05,11,0.61
ACC_1037,Kotak,True,ENT_06,13,0.77
ACC_1038,HDFC,False,,1,0.05
ACC_1039,SBI,False,,1,0.05
ACC_1040,HDFC,True,ENT_07,9,0.74
ACC_1041,ICICI,True,ENT_11,13,0.86
ACC_1042,Paytm PB,True,ENT_05,12,0.86
ACC_1043,ICICI,True,ENT_12,7,0.67
ACC_1044,Kotak,True,ENT_07,8,0.84
ACC_1045,HDFC,True,ENT_09,12,0.71
ACC_1046,Paytm PB,True,ENT_10,13,0.78
ACC_1047,Paytm PB,True,ENT_04,18,0.91
ACC_1048,Kotak,False,,0,0.05
ACC_1049,Paytm PB,True,ENT_05,13,0.64
ACC_1050,SBI,False,,1,0.05
ACC_1051,SBI,True,ENT_04,3,0.62
ACC_1052,Paytm PB,False,,0,0.05
ACC_1053,Paytm PB,True,ENT_11,9,0.88
ACC_1054,SBI,True,ENT_07,7,0.86
ACC_1055,HDFC,True,ENT_13,16,0.69
ACC_1056,Kotak,False,,1,0.05
ACC_1057,HDFC,True,ENT_04,17,0.65
ACC_1058,Paytm PB,True,ENT_09,13,0.97
ACC_1059,Paytm PB,False,,1,0.05
ACC_1060,Paytm PB,False,,1,0.05
ACC_1061,Kotak,False,,1,0.05
ACC_1062,SBI,True,ENT_13,11,0.9
ACC_1063,SBI,True,ENT_11,11,0.77
ACC_1064,ICICI,True,ENT_04,13,0.72
ACC_1065,SBI,True,ENT_03,10,0.75
ACC_1066,HDFC,True,ENT_04,16,0.76
ACC_1067,HDFC,True,ENT_07,9,0.92
ACC_1068,Paytm PB,True,ENT_13,3,0.93
ACC_1069,Axis,False,,1,0.05
ACC_1070,ICICI,True,ENT_06,15,0.93
ACC_1071,Axis,False,,0,0.05
ACC_1072,Axis,True,ENT_05,18,0.61
ACC_1073,Axis,True,ENT_11,8,0.93
ACC_1074,Paytm PB,False,,0,0.05
ACC_1075,Paytm PB,False,,0,0.05
ACC_1076,SBI,True,ENT_07,17,0.67
ACC_1077,SBI,True,ENT_06,17,0.73
ACC_1078,Axis,False,,1,0.05
ACC_1079,Axis,False,,1,0.05
ACC_1080,Axis,False,,0,0.05
