location_id,zone_id,type,bank_name,lat,lng,risk_level
ATM_001,Z01,Micro-ATM / CSP,HDFC,28.020743,77.025063,HIGH
ATM_002,Z01,Micro-ATM / CSP,ICICI,28.022093,77.039922,HIGH
ATM_003,Z01,ATM,SBI,28.014206,77.024206,HIGH
ATM_004,Z01,Micro-ATM / CSP,HDFC,28.030425,77.033164,LOW
ATM_005,Z02,ATM,HDFC,23.958301,86.806953,HIGH
ATM_006,Z02,ATM,SBI,23.958355,86.797934,HIGH
ATM_007,Z02,Micro-ATM / CSP,SBI,23.964664,86.784987,LOW
ATM_008,Z02,ATM,Axis,23.947072,86.797071,MEDIUM
ATM_009,Z03,ATM,SBI,30.891941,75.860111,LOW
ATM_010,Z03,PoS Terminal,ICICI,30.892878,75.844668,HIGH
ATM_011,Z03,ATM,ICICI,30.914109,75.855281,HIGH
ATM_012,Z03,ATM,Axis,30.901604,75.844557,HIGH
ATM_013,Z04,PoS Terminal,ICICI,31.629131,74.873292,MEDIUM
ATM_014,Z04,ATM,Axis,31.623705,74.87566,HIGH
ATM_015,Z04,PoS Terminal,HDFC,31.628628,74.869691,MEDIUM
ATM_016,Z04,Micro-ATM / CSP,ICICI,31.628618,74.888867,HIGH
ATM_017,Z05,Micro-ATM / CSP,HDFC,28.535379,77.23154,HIGH
ATM_018,Z05,Micro-ATM / CSP,SBI,28.542857,77.23008,MEDIUM
ATM_019,Z05,ATM,SBI,28.537368,77.223472,HIGH
ATM_020,Z05,PoS Terminal,ICICI,28.52362,77.242761,LOW
ATM_021,Z06,Micro-ATM / CSP,ICICI,-33.826895,76.486033,HIGH
ATM_022,Z06,PoS Terminal,ICICI,-33.834534,76.481807,HIGH
ATM_023,Z06,Micro-ATM / CSP,ICICI,-33.846724,76.478062,HIGH
ATM_024,Z06,Micro-ATM / CSP,SBI,-33.83762,76.493955,HIGH
ATM_025,Z07,ATM,Axis,-11.449927,128.572931,LOW
ATM_026,Z07,PoS Terminal,SBI,-11.450101,128.585256,MEDIUM
ATM_027,Z07,ATM,SBI,-11.459055,128.594171,HIGH
ATM_028,Z07,PoS Terminal,Axis,-11.443778,128.59703,MEDIUM
ATM_029,Z08,ATM,SBI,33.960194,6.505134,MEDIUM
ATM_030,Z08,ATM,Axis,33.970663,6.516626,LOW
ATM_031,Z08,Micro-ATM / CSP,Axis,33.963414,6.506239,HIGH
ATM_032,Z08,PoS Terminal,SBI,33.957805,6.497201,HIGH
ATM_033,Z09,Micro-ATM / CSP,ICICI,-81.400833,-138.569169,LOW
ATM_034,Z09,Micro-ATM / CSP,Axis,-81.408744,-138.572324,MEDIUM
ATM_035,Z09,ATM,SBI,-81.404865,-138.58707,LOW
ATM_036,Z09,ATM,HDFC,-81.404868,-138.567543,HIGH
ATM_037,Z10,ATM,SBI,9.86098,97.780695,LOW
ATM_038,Z10,Micro-ATM / CSP,HDFC,9.837868,97.774051,LOW
ATM_039,Z10,PoS Terminal,Axis,9.862079,97.764026,MEDIUM
ATM_040,Z10,Micro-ATM / CSP,HDFC,9.862121,97.748923,HIGH
ATM_041,Z11,Micro-ATM / CSP,ICICI,14.714135,43.793994,MEDIUM
