cashout_id,complaint_id,final_account,zone_id,location_id,lat,lng,timestamp,status
CSH_CMP_2026001,CMP_2026001,ACC_1109,Z14,ATM_054,-58.867429,-15.713139,2026-09-09T09:33:31.971575,INTERCEPTED
CSH_CMP_2026002,CMP_2026002,ACC_1037,Z09,ATM_036,-81.404868,-138.567543,2026-09-12T00:22:31.971575,COMPLETED
CSH_CMP_2026003,CMP_2026003,ACC_1001,Z14,ATM_056,-58.901462,-15.714937,2026-09-07T14:41:31.971575,INTERCEPTED
CSH_CMP_2026004,CMP_2026004,ACC_1011,Z08,ATM_031,33.963414,6.506239,2026-09-06T06:28:31.971575,INTERCEPTED
CSH_CMP_2026005,CMP_2026005,ACC_1025,Z09,ATM_034,-81.408744,-138.572324,2026-09-06T12:42:31.971575,COMPLETED
CSH_CMP_2026006,CMP_2026006,ACC_1110,Z19,ATM_074,82.565136,32.556589,2026-09-07T14:49:31.971575,INTERCEPTED
CSH_CMP_2026007,CMP_2026007,ACC_1046,Z17,ATM_065,-75.366209,102.152897,2026-09-09T04:49:31.971575,INTERCEPTED
CSH_CMP_2026008,CMP_2026008,ACC_1111,Z09,ATM_035,-81.404865,-138.58707,2026-09-10T04:00:31.971575,COMPLETED
CSH_CMP_2026009,CMP_2026009,ACC_1109,Z01,ATM_003,28.014206,77.024206,2026-09-11T09:56:31.971575,INTERCEPTED
CSH_CMP_2026010,CMP_2026010,ACC_1047,Z06,ATM_023,-33.846724,76.478062,2026-09-09T05:32:31.971575,INTERCEPTED
CSH_CMP_2026011,CMP_2026011,ACC_1057,Z04,ATM_013,31.629131,74.873292,2026-09-09T06:31:31.971575,COMPLETED
CSH_CMP_2026012,CMP_2026012,ACC_1005,Z15,ATM_057,64.582439,-87.997768,2026-09-11T05:44:31.971575,COMPLETED
CSH_CMP_2026013,CMP_2026013,ACC_1101,Z15,ATM_059,64.58159,-88.030253,2026-09-07T21:14:31.971575,INTERCEPTED
CSH_CMP_2026014,CMP_2026014,ACC_1092,Z15,ATM_059,64.58159,-88.030253,2026-09-10T00:19:31.971575,COMPLETED
CSH_CMP_2026015,CMP_2026015,ACC_1091,Z04,ATM_016,31.628618,74.888867,2026-09-10T01:13:31.971575,COMPLETED
CSH_CMP_2026016,CMP_2026016,ACC_1073,Z03,ATM_012,30.901604,75.844557,2026-09-08T03:44:31.971575,COMPLETED
CSH_CMP_2026017,CMP_2026017,ACC_1092,Z10,ATM_039,9.862079,97.764026,2026-09-06T07:40:31.971575,INTERCEPTED
CSH_CMP_2026018,CMP_2026018,ACC_1024,Z13,ATM_050,-14.316954,136.499002,2026-09-09T06:28:31.971575,COMPLETED
CSH_CMP_2026019,CMP_2026019,ACC_1093,Z09,ATM_035,-81.404865,-138.58707,2026-09-08T03:59:31.971575,COMPLETED
CSH_CMP_2026020,CMP_2026020,ACC_1086,Z18,ATM_069,44.576694,8.535819,2026-09-12T04:55:31.971575,INTERCEPTED
CSH_CMP_2026021,CMP_2026021,ACC_1057,Z07,ATM_026,-11.450101,128.585256,2026-09-10T05:07:31.971575,COMPLETED
CSH_CMP_2026022,CMP_2026022,ACC_1055,Z16,ATM_061,44.193275,-137.143734,2026-09-12T07:56:31.971575,INTERCEPTED
CSH_CMP_2026023,CMP_2026023,ACC_1109,Z11,ATM_042,14.729319,43.786164,2026-09-09T01:10:31.971575,COMPLETED
CSH_CMP_2026024,CMP_2026024,ACC_1024,Z14,ATM_053,-58.885743,-15.711086,2026-09-10T00:03:31.971575,COMPLETED
CSH_CMP_2026025,CMP_2026025,ACC_1115,Z13,ATM_052,-14.320065,136.493924,2026-09-12T03:23:31.971575,COMPLETED
