complaint_id,typology_id,typology_name,amount_inr,victim_location,created_at
CMP_2026001,TYP_02,Fake Loan App,562957,Latur,2026-09-09T09:13:31.971575
CMP_2026002,TYP_01,OTP Fraud,119053,Davanagere,2026-09-11T23:58:31.971575
CMP_2026003,TYP_02,Fake Loan App,266516,Bathinda,2026-09-07T14:20:31.971575
CMP_2026004,TYP_04,Investment Scam,320407,Aurangabad,2026-09-06T05:59:31.971575
CMP_2026005,TYP_02,Fake Loan App,460790,Indore,2026-09-06T12:19:31.971575
CMP_2026006,TYP_01,OTP Fraud,77535,Hosur,2026-09-07T14:35:31.971575
CMP_2026007,TYP_04,Investment Scam,145394,Panvel,2026-09-09T04:29:31.971575
CMP_2026008,TYP_04,Investment Scam,99349,Purnia,2026-09-10T03:47:31.971575
CMP_2026009,TYP_01,OTP Fraud,255044,Uluberia,2026-09-11T09:38:31.971575
CMP_2026010,TYP_01,OTP Fraud,198700,Chennai,2026-09-09T05:18:31.971575
CMP_2026011,TYP_04,Investment Scam,110674,Phagwara,2026-09-09T06:07:31.971575
CMP_2026012,TYP_03,Part-Time Job Scam,446641,Junagadh,2026-09-11T05:16:31.971575
CMP_2026013,TYP_03,Part-Time Job Scam,279659,Kavali,2026-09-07T20:52:31.971575
CMP_2026014,TYP_01,OTP Fraud,211694,Noida,2026-09-10T00:08:31.971575
CMP_2026015,TYP_02,Fake Loan App,295028,Ambala,2026-09-10T00:53:31.971575
CMP_2026016,TYP_02,Fake Loan App,181071,Begusarai,2026-09-08T03:20:31.971575
CMP_2026017,TYP_01,OTP Fraud,498863,Katihar,2026-09-06T07:26:31.971575
CMP_2026018,TYP_04,Investment Scam,520937,Hubli–Dharwad,2026-09-09T06:00:31.971575
CMP_2026019,TYP_02,Fake Loan App,88201,Barasat,2026-09-08T03:34:31.971575
CMP_2026020,TYP_03,Part-Time Job Scam,328058,Kolkata,2026-09-12T04:22:31.971575
CMP_2026021,TYP_03,Part-Time Job Scam,363588,Meerut,2026-09-10T04:33:31.971575
CMP_2026022,TYP_04,Investment Scam,259907,Naihati,2026-09-12T07:34:31.971575
CMP_2026023,TYP_04,Investment Scam,174493,Mau,2026-09-09T00:47:31.971575
CMP_2026024,TYP_04,Investment Scam,119555,Gopalpur,2026-09-09T23:43:31.971575
CMP_2026025,TYP_01,OTP Fraud,507296,Hospet,2026-09-12T03:01:31.971575
CMP_2026026,TYP_03,Part-Time Job Scam,574543,Suryapet,2026-09-09T11:05:31.971575
CMP_2026027,TYP_02,Fake Loan App,316338,Raurkela Industrial Township,2026-09-07T09:32:31.971575
CMP_2026028,TYP_02,Fake Loan App,329012,Darbhanga,2026-09-06T07:47:31.971575
CMP_2026029,TYP_04,Investment Scam,167640,Sri Ganganagar,2026-09-07T06:18:31.971575
CMP_2026030,TYP_01,OTP Fraud,416126,Rampur,2026-09-10T13:28:31.971575
CMP_2026031,TYP_02,Fake Loan App,498550,Khandwa,2026-09-11T03:01:31.971575
CMP_2026032,TYP_02,Fake Loan App,92449,Bahraich,2026-09-09T10:07:31.971575
CMP_2026033,TYP_04,Investment Scam,331797,Gopalpur,2026-09-07T10:09:31.971575
CMP_2026034,TYP_03,Part-Time Job Scam,324571,Shimla,2026-09-06T09:38:31.971575
CMP_2026035,TYP_03,Part-Time Job Scam,256296,Gopalpur,2026-09-10T05:36:31.971575
CMP_2026036,TYP_02,Fake Loan App,116883,Tirunelveli,2026-09-11T06:26:31.971575
CMP_2026037,TYP_02,Fake Loan App,109511,Sambhal,2026-09-08T06:05:31.971575
CMP_2026038,TYP_03,Part-Time Job Scam,187537,Jamnagar,2026-09-07T18:43:31.971575
CMP_2026039,TYP_02,Fake Loan App,251574,Mango,2026-09-12T02:28:31.971575
CMP_2026040,TYP_01,OTP Fraud,292304,Nagaon,2026-09-10T07:52:31.971575
CMP_2026041,TYP_03,Part-Time Job Scam,128609,Udaipur,2026-09-11T01:59:31.971575
CMP_2026042,TYP_01,OTP Fraud,501819,Baranagar,2026-09-11T03:04:31.971575
CMP_2026043,TYP_01,OTP Fraud,334149,Tumkur,2026-09-09T04:52:31.971575
CMP_2026044,TYP_04,Investment Scam,490679,Jodhpur,2026-09-08T05:27:31.971575
CMP_2026045,TYP_01,OTP Fraud,528117,Narasaraopet,2026-09-10T07:11:31.971575
CMP_2026046,TYP_04,Investment Scam,481297,Gorakhpur,2026-09-06T23:39:31.971575
CMP_2026047,TYP_01,OTP Fraud,432479,Thoothukudi,2026-09-08T11:57:31.971575
CMP_2026048,TYP_01,OTP Fraud,68035,Erode,2026-09-12T03:06:31.971575
CMP_2026049,TYP_01,OTP Fraud,596128,Muzaffarpur,2026-09-07T08:22:31.971575
CMP_2026050,TYP_01,OTP Fraud,305743,Dharmavaram,2026-09-12T05:54:31.971575
CMP_2026051,TYP_01,OTP Fraud,42032,Mirzapur,2026-09-07T06:45:31.971575
CMP_2026052,TYP_01,OTP Fraud,197710,Ramagundam,2026-09-08T04:48:31.971575
CMP_2026053,TYP_01,OTP Fraud,514380,Malegaon,2026-09-09T01:34:31.971575
CMP_2026054,TYP_04,Investment Scam,543313,Malegaon,2026-09-07T07:24:31.971575
CMP_2026055,TYP_01,OTP Fraud,517248,Orai,2026-09-12T10:10:31.971575
CMP_2026056,TYP_01,OTP Fraud,99714,Ichalkaranji,2026-09-08T10:23:31.971575
CMP_2026057,TYP_03,Part-Time Job Scam,414407,Kishanganj,2026-09-10T08:18:31.971575
CMP_2026058,TYP_01,OTP Fraud,593116,Kamarhati,2026-09-11T01:40:31.971575
CMP_2026059,TYP_04,Investment Scam,370395,Gurgaon,2026-09-12T11:14:31.971575
CMP_2026060,TYP_03,Part-Time Job Scam,282271,Kamarhati,2026-09-07T23:54:31.971575
