cashout_id,complaint_id,final_account,zone_id,location_id,amount_cashed_out,status,event_timestamp
CSH_CMP_202600001,CMP_202600001,ACC_015414,Z036,ATM_Z036_018,21570.19,COMPLETED,2025-06-01T18:19:00
CSH_CMP_202600002,CMP_202600002,ACC_005045,Z005,ATM_Z005_010,4702.79,COMPLETED,2025-06-28T15:25:00
CSH_CMP_202600003,CMP_202600003,ACC_023990,Z074,ATM_Z074_045,26235.11,COMPLETED,2025-03-10T14:47:00
CSH_CMP_202600004,CMP_202600004,ACC_003066,Z012,ATM_Z012_039,2673.61,COMPLETED,2025-02-04T12:05:00
CSH_CMP_202600005,CMP_202600005,ACC_012625,Z009,ATM_Z009_024,3655.31,COMPLETED,2025-04-06T12:47:00
CSH_CMP_202600006,CMP_202600006,ACC_008849,Z002,ATM_Z002_018,1021.37,COMPLETED,2025-01-15T11:35:00
CSH_CMP_202600007,CMP_202600007,ACC_015177,Z005,ATM_Z005_014,211708.55,COMPLETED,2025-01-20T06:57:00
CSH_CMP_202600008,CMP_202600008,ACC_019022,Z006,ATM_Z006_035,176733.41,COMPLETED,2025-04-29T10:44:00
CSH_CMP_202600009,CMP_202600009,ACC_022125,Z011,ATM_Z011_003,12606.21,COMPLETED,2025-03-03T12:36:00
CSH_CMP_202600010,CMP_202600010,ACC_012195,Z028,ATM_Z028_045,13114.99,COMPLETED,2025-04-05T13:20:00
CSH_CMP_202600011,CMP_202600011,ACC_013275,Z004,ATM_Z004_018,817499.91,COMPLETED,2025-02-26T13:51:00
CSH_CMP_202600012,CMP_202600012,ACC_010415,Z005,ATM_Z005_028,211308.98,COMPLETED,2025-01-13T11:38:00
CSH_CMP_202600013,CMP_202600013,ACC_010242,Z004,ATM_Z004_011,3744.73,COMPLETED,2025-04-24T08:05:00
CSH_CMP_202600014,CMP_202600014,ACC_001534,Z007,ATM_Z007_042,15435.64,COMPLETED,2025-01-21T08:47:00
CSH_CMP_202600015,CMP_202600015,ACC_005045,Z005,ATM_Z005_040,282637.63,COMPLETED,2025-02-25T18:15:00
CSH_CMP_202600016,CMP_202600016,ACC_013469,Z044,ATM_Z044_019,1201900.37,COMPLETED,2025-02-12T13:40:00
CSH_CMP_202600017,CMP_202600017,ACC_000786,Z026,ATM_Z026_039,7200.99,COMPLETED,2025-02-03T15:52:00
CSH_CMP_202600018,CMP_202600018,ACC_013468,Z002,ATM_Z002_030,48666.19,COMPLETED,2025-03-26T19:35:00
CSH_CMP_202600019,CMP_202600019,ACC_016397,Z002,ATM_Z002_004,419219.11,COMPLETED,2025-05-25T22:27:00
CSH_CMP_202600020,CMP_202600020,ACC_011575,Z029,ATM_Z029_041,28474.6,COMPLETED,2025-05-17T10:29:00
CSH_CMP_202600021,CMP_202600021,ACC_006813,Z049,ATM_Z049_038,56907.34,COMPLETED,2025-02-03T15:32:00
CSH_CMP_202600022,CMP_202600022,ACC_017707,Z062,ATM_Z062_009,4378.25,COMPLETED,2025-04-14T11:02:00
CSH_CMP_202600023,CMP_202600023,ACC_004554,Z003,ATM_Z003_023,78979.9,COMPLETED,2025-02-05T16:06:00
CSH_CMP_202600024,CMP_202600024,ACC_010417,Z002,ATM_Z002_011,5534.9,COMPLETED,2025-02-21T14:38:00
CSH_CMP_202600025,CMP_202600025,ACC_020625,Z015,ATM_Z015_029,6327.27,COMPLETED,2025-06-16T14:48:00
CSH_CMP_202600026,CMP_202600026,ACC_020625,Z015,ATM_Z015_035,14034.13,COMPLETED,2025-03-28T22:01:00
CSH_CMP_202600027,CMP_202600027,ACC_009874,Z023,ATM_Z023_044,26300.94,COMPLETED,2025-03-02T13:38:00
CSH_CMP_202600028,CMP_202600028,ACC_013894,Z016,ATM_Z016_007,6759.76,COMPLETED,2025-01-28T18:51:00
CSH_CMP_202600029,CMP_202600029,ACC_022701,Z016,ATM_Z016_011,28081.37,COMPLETED,2025-04-25T16:50:00
CSH_CMP_202600030,CMP_202600030,ACC_006313,Z008,ATM_Z008_026,1405.1,COMPLETED,2025-06-26T18:30:00
CSH_CMP_202600031,CMP_202600031,ACC_005622,Z016,ATM_Z016_018,56696.11,COMPLETED,2025-05-26T10:54:00
CSH_CMP_202600032,CMP_202600032,ACC_004113,Z001,ATM_Z001_030,48328.97,COMPLETED,2025-05-25T12:56:00
CSH_CMP_202600033,CMP_202600033,ACC_004544,Z024,ATM_Z024_018,38762.68,COMPLETED,2025-02-07T17:11:00
CSH_CMP_202600034,CMP_202600034,ACC_006749,Z005,ATM_Z005_037,18694.54,COMPLETED,2025-04-19T14:57:00
CSH_CMP_202600035,CMP_202600035,ACC_008829,Z016,ATM_Z016_001,17563.16,COMPLETED,2025-06-27T12:28:00
CSH_CMP_202600036,CMP_202600036,ACC_009235,Z005,ATM_Z005_035,137688.21,COMPLETED,2025-05-28T15:24:00
CSH_CMP_202600037,CMP_202600037,ACC_016927,Z073,ATM_Z073_008,5594.49,COMPLETED,2025-05-06T11:50:00
CSH_CMP_202600038,CMP_202600038,ACC_017706,Z046,ATM_Z046_003,45001.84,COMPLETED,2025-01-25T17:40:00
CSH_CMP_202600039,CMP_202600039,ACC_022875,Z002,ATM_Z002_015,12975.51,COMPLETED,2025-02-05T10:27:00
CSH_CMP_202600040,CMP_202600040,ACC_023138,Z007,ATM_Z007_044,25976.32,COMPLETED,2025-03-31T20:35:00
CSH_CMP_202600041,CMP_202600041,ACC_007986,Z003,ATM_Z003_026,222325.39,COMPLETED,2025-05-10T23:03:00
CSH_CMP_202600042,CMP_202600042,ACC_013608,Z002,ATM_Z002_019,146788.64,COMPLETED,2025-02-15T13:59:00
CSH_CMP_202600043,CMP_202600043,ACC_001912,Z002,ATM_Z002_025,42987.52,COMPLETED,2025-05-28T11:51:00
CSH_CMP_202600044,CMP_202600044,ACC_010327,Z038,ATM_Z038_050,1401629.2,COMPLETED,2025-01-30T12:32:00
CSH_CMP_202600045,CMP_202600045,ACC_020224,Z010,ATM_Z010_017,15729.46,COMPLETED,2025-06-15T10:54:00
CSH_CMP_202600046,CMP_202600046,ACC_004625,Z010,ATM_Z010_023,393567.26,COMPLETED,2025-05-13T14:42:00
CSH_CMP_202600047,CMP_202600047,ACC_017706,Z062,ATM_Z062_003,62513.26,COMPLETED,2025-06-04T17:36:00
CSH_CMP_202600048,CMP_202600048,ACC_007798,Z044,ATM_Z044_045,51563.51,COMPLETED,2025-03-19T07:59:00
CSH_CMP_202600049,CMP_202600049,ACC_011103,Z009,ATM_Z009_027,3843.25,COMPLETED,2025-02-10T13:43:00
CSH_CMP_202600050,CMP_202600050,ACC_006822,Z009,ATM_Z009_018,12899.29,COMPLETED,2025-03-14T16:42:00
CSH_CMP_202600051,CMP_202600051,ACC_000791,Z051,ATM_Z051_028,16055.2,COMPLETED,2025-01-21T14:04:00
CSH_CMP_202600052,CMP_202600052,ACC_001534,Z001,ATM_Z001_028,289986.58,COMPLETED,2025-06-04T10:58:00
CSH_CMP_202600053,CMP_202600053,ACC_016105,Z001,ATM_Z001_047,3809.63,COMPLETED,2025-03-12T21:03:00
CSH_CMP_202600054,CMP_202600054,ACC_019073,Z014,ATM_Z014_028,4780.26,COMPLETED,2025-04-16T17:50:00
CSH_CMP_202600055,CMP_202600055,ACC_009031,Z019,ATM_Z019_016,16271.0,COMPLETED,2025-06-08T12:48:00
CSH_CMP_202600056,CMP_202600056,ACC_023991,Z074,ATM_Z074_019,3092.1,COMPLETED,2025-05-08T12:19:00
CSH_CMP_202600057,CMP_202600057,ACC_015414,Z009,ATM_Z009_043,23217.82,COMPLETED,2025-02-08T12:11:00
CSH_CMP_202600058,CMP_202600058,ACC_011429,Z004,ATM_Z004_017,56479.22,COMPLETED,2025-02-09T13:47:00
CSH_CMP_202600059,CMP_202600059,ACC_020346,Z002,ATM_Z002_037,148519.46,COMPLETED,2025-05-13T14:17:00
CSH_CMP_202600060,CMP_202600060,ACC_003147,Z015,ATM_Z015_035,15990.68,COMPLETED,2025-01-04T12:25:00
CSH_CMP_202600061,CMP_202600061,ACC_017339,Z007,ATM_Z007_002,9759.73,COMPLETED,2025-03-26T19:54:00
CSH_CMP_202600062,CMP_202600062,ACC_023942,Z018,ATM_Z018_012,19303.19,COMPLETED,2025-04-24T13:18:00
CSH_CMP_202600063,CMP_202600063,ACC_023944,Z056,ATM_Z056_013,118000.69,COMPLETED,2025-06-28T09:02:00
CSH_CMP_202600064,CMP_202600064,ACC_017968,Z019,ATM_Z019_023,11058.81,COMPLETED,2025-02-05T11:14:00
CSH_CMP_202600065,CMP_202600065,ACC_001023,Z006,ATM_Z006_031,8942.6,COMPLETED,2025-05-06T11:30:00
CSH_CMP_202600066,CMP_202600066,ACC_017969,Z010,ATM_Z010_007,1654.52,COMPLETED,2025-01-27T18:23:00
CSH_CMP_202600067,CMP_202600067,ACC_012895,Z009,ATM_Z009_040,129411.84,COMPLETED,2025-02-19T08:04:00
CSH_CMP_202600068,CMP_202600068,ACC_017338,Z015,ATM_Z015_029,8993.6,COMPLETED,2025-06-21T14:04:00
CSH_CMP_202600069,CMP_202600069,ACC_016458,Z006,ATM_Z006_023,1922.23,COMPLETED,2025-03-13T18:20:00
CSH_CMP_202600070,CMP_202600070,ACC_021978,Z005,ATM_Z005_007,76029.7,COMPLETED,2025-05-15T11:39:00
CSH_CMP_202600071,CMP_202600071,ACC_001023,Z006,ATM_Z006_004,17361.39,COMPLETED,2025-02-06T17:01:00
CSH_CMP_202600072,CMP_202600072,ACC_010426,Z002,ATM_Z002_018,2356.47,COMPLETED,2025-05-19T13:51:00
CSH_CMP_202600073,CMP_202600073,ACC_005537,Z015,ATM_Z015_024,32263.6,COMPLETED,2025-03-14T15:54:00
CSH_CMP_202600074,CMP_202600074,ACC_009191,Z005,ATM_Z005_024,3343.31,COMPLETED,2025-04-25T20:44:00
CSH_CMP_202600075,CMP_202600075,ACC_005043,Z050,ATM_Z050_039,13400.33,COMPLETED,2025-01-13T09:59:00
CSH_CMP_202600076,CMP_202600076,ACC_018318,Z007,ATM_Z007_012,12075.86,COMPLETED,2025-02-11T09:51:00
CSH_CMP_202600077,CMP_202600077,ACC_000783,Z052,ATM_Z052_014,1173.52,COMPLETED,2025-05-12T16:26:00
CSH_CMP_202600078,CMP_202600078,ACC_020224,Z006,ATM_Z006_039,248343.5,COMPLETED,2025-02-20T12:56:00
CSH_CMP_202600079,CMP_202600079,ACC_002984,Z017,ATM_Z017_008,243338.25,COMPLETED,2025-01-29T12:55:00
CSH_CMP_202600080,CMP_202600080,ACC_010248,Z015,ATM_Z015_016,25710.79,COMPLETED,2025-06-20T08:49:00
CSH_CMP_202600081,CMP_202600081,ACC_021919,Z006,ATM_Z006_031,6460.89,COMPLETED,2025-02-05T14:59:00
CSH_CMP_202600082,CMP_202600082,ACC_021403,Z036,ATM_Z036_009,65541.2,COMPLETED,2025-02-27T19:36:00
CSH_CMP_202600083,CMP_202600083,ACC_001571,Z002,ATM_Z002_004,9176.38,COMPLETED,2025-05-08T13:28:00
CSH_CMP_202600084,CMP_202600084,ACC_024060,Z010,ATM_Z010_039,9216.83,COMPLETED,2025-03-22T18:24:00
CSH_CMP_202600085,CMP_202600085,ACC_005010,Z049,ATM_Z049_021,8716.94,COMPLETED,2025-01-12T15:21:00
CSH_CMP_202600086,CMP_202600086,ACC_021239,Z007,ATM_Z007_043,1034.12,COMPLETED,2025-01-22T20:27:00
CSH_CMP_202600087,CMP_202600087,ACC_004543,Z037,ATM_Z037_050,10375.57,COMPLETED,2025-03-20T12:38:00
CSH_CMP_202600088,CMP_202600088,ACC_015020,Z014,ATM_Z014_001,62502.91,COMPLETED,2025-05-06T11:36:00
CSH_CMP_202600089,CMP_202600089,ACC_008964,Z016,ATM_Z016_030,1481.89,COMPLETED,2025-06-21T12:39:00
CSH_CMP_202600090,CMP_202600090,ACC_003320,Z008,ATM_Z008_050,1686.93,COMPLETED,2025-02-22T17:37:00
CSH_CMP_202600091,CMP_202600091,ACC_013301,Z015,ATM_Z015_044,16975.35,COMPLETED,2025-06-20T12:23:00
CSH_CMP_202600092,CMP_202600092,ACC_020825,Z027,ATM_Z027_023,15099.09,COMPLETED,2025-03-18T11:34:00
CSH_CMP_202600093,CMP_202600093,ACC_005007,Z073,ATM_Z073_008,5510.67,COMPLETED,2025-05-20T09:22:00
CSH_CMP_202600094,CMP_202600094,ACC_006324,Z008,ATM_Z008_046,8960.31,COMPLETED,2025-03-17T16:37:00
CSH_CMP_202600095,CMP_202600095,ACC_000008,Z036,ATM_Z036_014,201001.74,COMPLETED,2025-03-15T05:17:00
CSH_CMP_202600096,CMP_202600096,ACC_000475,Z002,ATM_Z002_032,5202.68,COMPLETED,2025-01-23T16:33:00
CSH_CMP_202600097,CMP_202600097,ACC_009432,Z007,ATM_Z007_010,331827.3,COMPLETED,2025-03-09T14:42:00
CSH_CMP_202600098,CMP_202600098,ACC_012200,Z007,ATM_Z007_009,1976269.49,COMPLETED,2025-01-31T10:28:00
CSH_CMP_202600099,CMP_202600099,ACC_012904,Z009,ATM_Z009_023,78250.56,COMPLETED,2025-03-15T11:06:00
CSH_CMP_202600100,CMP_202600100,ACC_012484,Z005,ATM_Z005_047,62851.24,COMPLETED,2025-02-10T17:41:00
CSH_CMP_202600101,CMP_202600101,ACC_003854,Z001,ATM_Z001_038,291901.39,COMPLETED,2025-02-11T16:07:00
CSH_CMP_202600102,CMP_202600102,ACC_022124,Z011,ATM_Z011_009,30306.45,COMPLETED,2025-04-07T20:56:00
CSH_CMP_202600103,CMP_202600103,ACC_013471,Z043,ATM_Z043_013,9576.33,COMPLETED,2025-06-29T19:56:00
CSH_CMP_202600104,CMP_202600104,ACC_006316,Z014,ATM_Z014_041,1502.0,COMPLETED,2025-03-21T10:05:00
CSH_CMP_202600105,CMP_202600105,ACC_000060,Z009,ATM_Z009_042,38329.78,COMPLETED,2025-06-02T15:59:00
CSH_CMP_202600106,CMP_202600106,ACC_015416,Z005,ATM_Z005_012,30347.1,COMPLETED,2025-01-25T09:29:00
CSH_CMP_202600107,CMP_202600107,ACC_005479,Z050,ATM_Z050_027,98914.11,COMPLETED,2025-06-12T14:14:00
CSH_CMP_202600108,CMP_202600108,ACC_009032,Z019,ATM_Z019_005,0.0,FROZEN,2025-01-23T13:38:00
CSH_CMP_202600109,CMP_202600109,ACC_007122,Z005,ATM_Z005_049,13518.2,COMPLETED,2025-04-28T12:27:00
CSH_CMP_202600110,CMP_202600110,ACC_009031,Z019,ATM_Z019_043,3032.17,COMPLETED,2025-05-28T15:06:00
CSH_CMP_202600111,CMP_202600111,ACC_011190,Z056,ATM_Z056_042,225844.84,COMPLETED,2025-05-02T13:18:00
CSH_CMP_202600112,CMP_202600112,ACC_014318,Z005,ATM_Z005_028,10566.64,COMPLETED,2025-01-25T19:42:00
CSH_CMP_202600113,CMP_202600113,ACC_011649,Z004,ATM_Z004_002,819550.97,COMPLETED,2025-04-06T11:35:00
CSH_CMP_202600114,CMP_202600114,ACC_013008,Z056,ATM_Z056_017,3740.29,COMPLETED,2025-03-19T14:00:00
CSH_CMP_202600115,CMP_202600115,ACC_004115,Z012,ATM_Z012_028,7885.4,COMPLETED,2025-04-14T15:48:00
CSH_CMP_202600116,CMP_202600116,ACC_001912,Z002,ATM_Z002_041,50585.97,COMPLETED,2025-04-19T21:33:00
CSH_CMP_202600117,CMP_202600117,ACC_000330,Z032,ATM_Z032_012,215560.49,COMPLETED,2025-05-24T15:36:00
CSH_CMP_202600118,CMP_202600118,ACC_022128,Z011,ATM_Z011_050,5450.81,COMPLETED,2025-01-19T14:25:00
CSH_CMP_202600119,CMP_202600119,ACC_002471,Z009,ATM_Z009_039,200187.66,COMPLETED,2025-05-24T22:04:00
CSH_CMP_202600120,CMP_202600120,ACC_014212,Z035,ATM_Z035_007,45856.03,COMPLETED,2025-06-28T11:21:00
CSH_CMP_202600121,CMP_202600121,ACC_019865,Z003,ATM_Z003_020,1836.58,COMPLETED,2025-06-12T13:40:00
CSH_CMP_202600122,CMP_202600122,ACC_003847,Z015,ATM_Z015_006,26364.33,COMPLETED,2025-06-30T12:47:00
CSH_CMP_202600123,CMP_202600123,ACC_000797,Z003,ATM_Z003_029,141254.57,COMPLETED,2025-03-30T13:41:00
CSH_CMP_202600124,CMP_202600124,ACC_012894,Z049,ATM_Z049_007,134564.01,COMPLETED,2025-04-06T12:03:00
CSH_CMP_202600125,CMP_202600125,ACC_002287,Z009,ATM_Z009_002,5320.21,COMPLETED,2025-03-30T07:37:00
CSH_CMP_202600126,CMP_202600126,ACC_016924,Z025,ATM_Z025_026,1090.29,COMPLETED,2025-03-27T13:46:00
CSH_CMP_202600127,CMP_202600127,ACC_012612,Z005,ATM_Z005_002,0.0,FROZEN,2025-03-21T09:21:00
CSH_CMP_202600128,CMP_202600128,ACC_011654,Z004,ATM_Z004_033,199466.53,COMPLETED,2025-04-22T14:19:00
CSH_CMP_202600129,CMP_202600129,ACC_010227,Z007,ATM_Z007_014,23662.0,COMPLETED,2025-04-28T12:03:00
CSH_CMP_202600130,CMP_202600130,ACC_021809,Z011,ATM_Z011_013,20123.79,COMPLETED,2025-01-25T16:53:00
CSH_CMP_202600131,CMP_202600131,ACC_021239,Z074,ATM_Z074_017,3443.4,COMPLETED,2025-03-10T16:43:00
CSH_CMP_202600132,CMP_202600132,ACC_019283,Z004,ATM_Z004_038,7841.84,COMPLETED,2025-01-07T16:29:00
CSH_CMP_202600133,CMP_202600133,ACC_001534,Z007,ATM_Z007_004,5460.76,COMPLETED,2025-01-21T18:09:00
CSH_CMP_202600134,CMP_202600134,ACC_009691,Z008,ATM_Z008_015,1211063.21,COMPLETED,2025-03-12T12:40:00
CSH_CMP_202600135,CMP_202600135,ACC_019861,Z003,ATM_Z003_048,15678.64,COMPLETED,2025-06-08T12:19:00
CSH_CMP_202600136,CMP_202600136,ACC_021243,Z044,ATM_Z044_001,1357.82,COMPLETED,2025-05-09T16:31:00
CSH_CMP_202600137,CMP_202600137,ACC_012975,Z009,ATM_Z009_038,79802.53,COMPLETED,2025-04-15T17:42:00
CSH_CMP_202600138,CMP_202600138,ACC_009034,Z006,ATM_Z006_050,37282.64,COMPLETED,2025-04-07T15:54:00
CSH_CMP_202600139,CMP_202600139,ACC_005623,Z016,ATM_Z016_002,79406.3,COMPLETED,2025-05-28T12:15:00
CSH_CMP_202600140,CMP_202600140,ACC_023496,Z045,ATM_Z045_044,50046.02,COMPLETED,2025-01-18T11:42:00
CSH_CMP_202600141,CMP_202600141,ACC_016813,Z025,ATM_Z025_050,18922.96,COMPLETED,2025-03-07T11:34:00
CSH_CMP_202600142,CMP_202600142,ACC_019027,Z001,ATM_Z001_035,12797.16,COMPLETED,2025-05-05T10:46:00
CSH_CMP_202600143,CMP_202600143,ACC_019072,Z050,ATM_Z050_023,6725.62,COMPLETED,2025-06-11T08:45:00
CSH_CMP_202600144,CMP_202600144,ACC_021730,Z007,ATM_Z007_020,4220.21,COMPLETED,2025-03-17T11:18:00
CSH_CMP_202600145,CMP_202600145,ACC_007143,Z005,ATM_Z005_043,20219.27,COMPLETED,2025-06-22T13:37:00
CSH_CMP_202600146,CMP_202600146,ACC_004114,Z012,ATM_Z012_040,39189.14,COMPLETED,2025-01-08T17:03:00
