account_id,bank_name,is_mule,entity_id,created_timestamp
ACC_000001,Paytm PB,True,ENT_00001,2026-04-14T22:36:23.558221
ACC_000002,Kotak,True,ENT_00002,2025-12-08T22:36:23.558299
ACC_000003,SBI,True,ENT_00002,2025-11-10T22:36:23.558308
ACC_000004,SBI,True,ENT_00002,2025-10-25T22:36:23.558314
ACC_000005,Paytm PB,True,ENT_00002,2025-12-14T22:36:23.558319
ACC_000006,SBI,True,ENT_00002,2025-12-14T22:36:23.558324
ACC_000007,SBI,True,ENT_00003,2026-06-26T22:36:23.558334
ACC_000008,Kotak,True,ENT_00004,2026-01-05T22:36:23.558343
ACC_000009,Axis,True,ENT_00005,2026-01-15T22:36:23.558352
ACC_000010,PNB,True,ENT_00006,2026-07-17T22:36:23.558360
ACC_000011,Kotak,True,ENT_00006,2025-09-13T22:36:23.558365
ACC_000012,Kotak,True,ENT_00006,2026-06-24T22:36:23.558370
ACC_000013,HDFC,True,ENT_00006,2026-01-19T22:36:23.558375
ACC_000014,Kotak,True,ENT_00006,2026-02-21T22:36:23.558379
ACC_000015,SBI,True,ENT_00007,2026-05-07T22:36:23.558387
ACC_000016,Paytm PB,True,ENT_00008,2025-12-27T22:36:23.558395
ACC_000017,Axis,True,ENT_00009,2026-05-12T22:36:23.558403
ACC_000018,ICICI,True,ENT_00009,2025-12-20T22:36:23.558408
ACC_000019,PNB,True,ENT_00010,2026-07-06T22:36:23.558416
ACC_000020,Axis,True,ENT_00010,2025-11-05T22:36:23.558421
ACC_000021,HDFC,True,ENT_00010,2026-07-19T22:36:23.558426
ACC_000022,HDFC,True,ENT_00011,2026-04-14T22:36:23.558434
ACC_000023,Axis,True,ENT_00012,2025-12-08T22:36:23.558443
ACC_000024,SBI,True,ENT_00013,2026-01-20T22:36:23.558451
ACC_000025,HDFC,True,ENT_00013,2026-05-21T22:36:23.558456
ACC_000026,Axis,True,ENT_00013,2026-08-12T22:36:23.558461
ACC_000027,ICICI,True,ENT_00014,2025-12-24T22:36:23.558468
ACC_000028,ICICI,True,ENT_00014,2026-01-09T22:36:23.558473
ACC_000029,Kotak,True,ENT_00014,2025-11-02T22:36:23.558478
ACC_000030,SBI,True,ENT_00015,2026-05-08T22:36:23.558486
ACC_000031,SBI,True,ENT_00016,2026-07-15T22:36:23.558494
ACC_000032,Kotak,True,ENT_00017,2026-03-06T22:36:23.558502
ACC_000033,HDFC,True,ENT_00017,2026-07-19T22:36:23.558507
ACC_000034,Paytm PB,True,ENT_00017,2025-12-12T22:36:23.558512
ACC_000035,Paytm PB,True,ENT_00017,2025-11-15T22:36:23.558516
ACC_000036,HDFC,True,ENT_00018,2025-11-26T22:36:23.558524
ACC_000037,PNB,True,ENT_00019,2026-05-10T22:36:23.558531
ACC_000038,Paytm PB,True,ENT_00020,2026-07-10T22:36:23.558539
ACC_000039,Axis,True,ENT_00021,2026-06-13T22:36:23.558547
ACC_000040,Paytm PB,True,ENT_00022,2025-10-13T22:36:23.558555
ACC_000041,HDFC,True,ENT_00022,2025-09-30T22:36:23.558560
ACC_000042,Axis,True,ENT_00023,2025-10-19T22:36:23.558568
ACC_000043,ICICI,True,ENT_00024,2026-05-01T22:36:23.558577
ACC_000044,SBI,True,ENT_00025,2026-03-31T22:36:23.558585
ACC_000045,SBI,True,ENT_00026,2025-09-17T22:36:23.558593
ACC_000046,ICICI,True,ENT_00026,2025-12-22T22:36:23.558598
ACC_000047,ICICI,True,ENT_00026,2026-07-07T22:36:23.558602
ACC_000048,HDFC,True,ENT_00026,2025-12-22T22:36:23.558607
ACC_000049,Paytm PB,True,ENT_00026,2025-10-29T22:36:23.558611
ACC_000050,HDFC,True,ENT_00027,2025-11-11T22:36:23.558619
ACC_000051,Paytm PB,True,ENT_00028,2026-03-31T22:36:23.558627
ACC_000052,ICICI,True,ENT_00029,2026-07-09T22:36:23.558635
ACC_000053,ICICI,True,ENT_00030,2026-03-21T22:36:23.558643
