cashout_id,complaint_id,final_account,zone_id,location_id,amount_cashed_out,status,event_timestamp
CSH_CMP_202600001,CMP_202600001,ACC_002777,Z009,ATM_Z009_047,5217.04,COMPLETED,2025-01-28T19:11:00
CSH_CMP_202600002,CMP_202600002,ACC_000478,Z002,ATM_Z002_014,8351.47,COMPLETED,2025-03-03T22:22:00
CSH_CMP_202600003,CMP_202600003,ACC_001534,Z007,ATM_Z007_007,3384.55,COMPLETED,2025-02-11T16:10:00
CSH_CMP_202600004,CMP_202600004,ACC_002981,Z042,ATM_Z042_035,7882.13,COMPLETED,2025-04-24T17:46:00
CSH_CMP_202600005,CMP_202600005,ACC_002443,Z002,ATM_Z002_033,12722.38,COMPLETED,2025-06-22T11:50:00
CSH_CMP_202600006,CMP_202600006,ACC_001912,Z049,ATM_Z049_015,42008.61,COMPLETED,2025-06-05T17:28:00
CSH_CMP_202600007,CMP_202600007,ACC_001025,Z006,ATM_Z006_002,12630.24,COMPLETED,2025-01-07T07:03:00
CSH_CMP_202600008,CMP_202600008,ACC_001231,Z003,ATM_Z003_012,2766.92,COMPLETED,2025-04-19T05:28:00
CSH_CMP_202600009,CMP_202600009,ACC_000330,Z032,ATM_Z032_012,17417.67,COMPLETED,2025-02-12T12:35:00
CSH_CMP_202600010,CMP_202600010,ACC_001534,Z032,ATM_Z032_001,94159.15,COMPLETED,2025-05-22T12:15:00
CSH_CMP_202600011,CMP_202600011,ACC_000639,Z038,ATM_Z038_018,71989.43,COMPLETED,2025-05-12T09:38:00
CSH_CMP_202600012,CMP_202600012,ACC_001229,Z075,ATM_Z075_005,11938.62,COMPLETED,2025-02-14T15:19:00
CSH_CMP_202600013,CMP_202600013,ACC_001024,Z006,ATM_Z006_034,2886.6,COMPLETED,2025-03-15T12:57:00
CSH_CMP_202600014,CMP_202600014,ACC_001229,Z003,ATM_Z003_020,4302.89,COMPLETED,2025-04-01T18:18:00
CSH_CMP_202600015,CMP_202600015,ACC_001996,Z015,ATM_Z015_029,5872.27,COMPLETED,2025-04-07T19:21:00
CSH_CMP_202600016,CMP_202600016,ACC_002779,Z057,ATM_Z057_017,1147464.75,COMPLETED,2025-06-16T10:16:00
CSH_CMP_202600017,CMP_202600017,ACC_001244,Z056,ATM_Z056_005,188686.28,COMPLETED,2025-04-30T14:52:00
CSH_CMP_202600018,CMP_202600018,ACC_001945,Z001,ATM_Z001_010,22385.86,COMPLETED,2025-05-12T19:32:00
CSH_CMP_202600019,CMP_202600019,ACC_002319,Z010,ATM_Z010_019,2595.62,COMPLETED,2025-03-11T17:24:00
CSH_CMP_202600020,CMP_202600020,ACC_000782,Z051,ATM_Z051_010,49091.56,COMPLETED,2025-05-30T14:13:00
CSH_CMP_202600021,CMP_202600021,ACC_002983,Z026,ATM_Z026_026,40377.12,COMPLETED,2025-06-19T14:53:00
CSH_CMP_202600022,CMP_202600022,ACC_000330,Z010,ATM_Z010_044,9552.21,COMPLETED,2025-03-19T14:04:00
CSH_CMP_202600023,CMP_202600023,ACC_001236,Z003,ATM_Z003_041,6728.96,COMPLETED,2025-06-21T15:44:00
