complaint_id,typology_id,typology_name,amount_inr,victim_state,victim_district,incident_timestamp,complaint_timestamp,available_timestamp
CMP_202600001,TYP_02,Fake Loan App,18310.91,Punjab,District-36,2025-01-28T18:35:00,2025-01-29T02:35:00,2025-01-29T03:14:00
CMP_202600002,TYP_02,Fake Loan App,16558.31,Karnataka,District-56,2025-03-03T21:14:00,2025-03-04T01:14:00,2025-03-04T01:33:00
CMP_202600003,TYP_06,Marketplace / OLX Fraud,7648.23,Delhi,South Delhi,2025-02-11T15:05:00,2025-02-13T01:05:00,2025-02-13T01:46:00
CMP_202600004,TYP_02,Fake Loan App,7882.13,Madhya Pradesh,District-53,2025-04-24T17:28:00,2025-04-24T20:28:00,2025-04-24T20:42:00
CMP_202600005,TYP_02,Fake Loan App,12722.38,Odisha,District-27,2025-06-22T11:31:00,2025-06-22T17:31:00,2025-06-22T18:03:00
CMP_202600006,TYP_05,Sextortion,58699.59,Chhattisgarh,District-57,2025-06-05T17:13:00,2025-06-05T20:13:00,2025-06-05T20:41:00
CMP_202600007,TYP_02,Fake Loan App,23725.55,Karnataka,District-61,2025-01-07T06:43:00,2025-01-07T11:43:00,2025-01-07T12:24:00
CMP_202600008,TYP_03,Part-Time Job Scam,46469.83,Andhra Pradesh,District-58,2025-04-19T04:05:00,2025-04-19T16:05:00,2025-04-19T16:37:00
CMP_202600009,TYP_03,Part-Time Job Scam,61416.7,Madhya Pradesh,District-40,2025-02-12T11:33:00,2025-02-12T15:33:00,2025-02-12T15:42:00
CMP_202600010,TYP_04,Investment / Crypto Scam,94159.15,Madhya Pradesh,District-60,2025-05-22T11:48:00,2025-05-22T18:48:00,2025-05-22T19:16:00
CMP_202600011,TYP_03,Part-Time Job Scam,103299.09,West Bengal,District-35,2025-05-12T05:52:00,2025-05-12T06:52:00,2025-05-12T06:58:00
CMP_202600012,TYP_06,Marketplace / OLX Fraud,11938.62,Kerala,District-59,2025-02-14T14:45:00,2025-02-15T07:45:00,2025-02-15T07:57:00
CMP_202600013,TYP_06,Marketplace / OLX Fraud,2886.6,Karnataka,Bengaluru Urban,2025-03-15T12:29:00,2025-03-15T21:29:00,2025-03-15T22:07:00
CMP_202600014,TYP_02,Fake Loan App,10496.65,Andhra Pradesh,District-67,2025-04-01T17:50:00,2025-04-01T19:50:00,2025-04-01T20:33:00
