hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,bank_channel,event_timestamp,available_timestamp
HOP_CMP_202600001_1,CMP_202600001,1,ACC_003041,ACC_002777,10033.38,NEFT,2025-01-28T18:39:00,2025-01-28T20:34:00
HOP_CMP_202600001_2,CMP_202600001,2,ACC_002777,ACC_002778,5217.04,NEFT,2025-01-28T18:48:00,2025-01-28T19:29:00
HOP_CMP_202600001_3,CMP_202600001,3,ACC_002778,ACC_002777,5217.04,IMPS,2025-01-28T19:00:00,2025-01-28T19:16:00
HOP_CMP_202600002_1,CMP_202600002,1,ACC_003042,ACC_000475,14502.82,NEFT,2025-03-03T21:22:00,2025-03-03T22:50:00
HOP_CMP_202600002_2,CMP_202600002,2,ACC_000475,ACC_000472,8351.47,NEFT,2025-03-03T21:23:00,2025-03-03T22:08:00
HOP_CMP_202600002_3,CMP_202600002,3,ACC_000472,ACC_000478,8351.47,IMPS,2025-03-03T22:11:00,2025-03-04T00:03:00
HOP_CMP_202600003_1,CMP_202600003,1,ACC_003043,ACC_001534,6919.93,IMPS,2025-02-11T15:17:00,2025-02-11T16:06:00
HOP_CMP_202600003_2,CMP_202600003,2,ACC_001534,ACC_001534,4224.53,UPI,2025-02-11T15:22:00,2025-02-11T16:29:00
HOP_CMP_202600003_3,CMP_202600003,3,ACC_001534,ACC_001538,4050.53,UPI,2025-02-11T15:23:00,2025-02-11T16:00:00
HOP_CMP_202600003_4,CMP_202600003,4,ACC_001538,ACC_001535,3384.55,UPI,2025-02-11T15:24:00,2025-02-11T16:09:00
HOP_CMP_202600003_5,CMP_202600003,5,ACC_001535,ACC_001534,3384.55,UPI,2025-02-11T15:33:00,2025-02-11T17:04:00
HOP_CMP_202600004_1,CMP_202600004,1,ACC_003044,ACC_002981,7882.13,NEFT,2025-04-24T17:30:00,2025-04-24T18:34:00
HOP_CMP_202600005_1,CMP_202600005,1,ACC_003045,ACC_002443,12722.38,UPI,2025-06-22T11:32:00,2025-06-22T12:54:00
HOP_CMP_202600006_1,CMP_202600006,1,ACC_003046,ACC_001912,46987.66,NEFT,2025-06-05T17:15:00,2025-06-05T17:39:00
HOP_CMP_202600006_2,CMP_202600006,2,ACC_001912,ACC_001920,42008.61,IMPS,2025-06-05T17:16:00,2025-06-05T17:52:00
HOP_CMP_202600006_3,CMP_202600006,3,ACC_001920,ACC_001912,42008.61,UPI,2025-06-05T17:20:00,2025-06-05T18:20:00
HOP_CMP_202600007_1,CMP_202600007,1,ACC_003047,ACC_001029,12630.24,NEFT,2025-01-07T06:49:00,2025-01-07T08:33:00
HOP_CMP_202600007_2,CMP_202600007,2,ACC_001029,ACC_001025,12630.24,NEFT,2025-01-07T06:50:00,2025-01-07T07:54:00
HOP_CMP_202600008_1,CMP_202600008,1,ACC_003048,ACC_001229,29487.93,UPI,2025-04-19T04:37:00,2025-04-19T05:21:00
HOP_CMP_202600008_2,CMP_202600008,2,ACC_001229,ACC_001242,17974.91,NEFT,2025-04-19T04:43:00,2025-04-19T05:19:00
HOP_CMP_202600008_3,CMP_202600008,3,ACC_001242,ACC_001230,13759.22,IMPS,2025-04-19T04:44:00,2025-04-19T06:15:00
HOP_CMP_202600008_4,CMP_202600008,4,ACC_001230,ACC_001229,9387.72,IMPS,2025-04-19T05:10:00,2025-04-19T06:13:00
HOP_CMP_202600008_5,CMP_202600008,5,ACC_001229,ACC_001532,5127.46,NEFT,2025-04-19T05:11:00,2025-04-19T05:46:00
HOP_CMP_202600008_6,CMP_202600008,6,ACC_001532,ACC_001233,2766.92,UPI,2025-04-19T05:16:00,2025-04-19T06:03:00
HOP_CMP_202600008_7,CMP_202600008,7,ACC_001233,ACC_001231,2766.92,IMPS,2025-04-19T05:17:00,2025-04-19T06:09:00
HOP_CMP_202600009_1,CMP_202600009,1,ACC_003049,ACC_000331,49776.54,NEFT,2025-02-12T11:34:00,2025-02-12T12:00:00
HOP_CMP_202600009_2,CMP_202600009,2,ACC_000331,ACC_000331,46586.56,NEFT,2025-02-12T11:35:00,2025-02-12T13:30:00
HOP_CMP_202600009_3,CMP_202600009,3,ACC_000331,ACC_000353,34246.91,UPI,2025-02-12T11:43:00,2025-02-12T13:08:00
HOP_CMP_202600009_4,CMP_202600009,4,ACC_000353,ACC_000338,17417.67,IMPS,2025-02-12T12:02:00,2025-02-12T12:47:00
HOP_CMP_202600009_5,CMP_202600009,5,ACC_000338,ACC_000330,17417.67,IMPS,2025-02-12T12:04:00,2025-02-12T12:28:00
HOP_CMP_202600010_1,CMP_202600010,1,ACC_003050,ACC_001534,94159.15,NEFT,2025-05-22T11:49:00,2025-05-22T12:23:00
HOP_CMP_202600011_1,CMP_202600011,1,ACC_003051,ACC_000784,71989.43,IMPS,2025-05-12T05:54:00,2025-05-12T06:16:00
HOP_CMP_202600011_2,CMP_202600011,2,ACC_000784,ACC_000639,71989.43,IMPS,2025-05-12T05:55:00,2025-05-12T06:26:00
HOP_CMP_202600012_1,CMP_202600012,1,ACC_003052,ACC_001229,11938.62,NEFT,2025-02-14T15:03:00,2025-02-14T15:38:00
HOP_CMP_202600013_1,CMP_202600013,1,ACC_003053,ACC_001024,2886.6,UPI,2025-03-15T12:30:00,2025-03-15T14:11:00
HOP_CMP_202600014_1,CMP_202600014,1,ACC_003054,ACC_001229,7374.94,UPI,2025-04-01T17:58:00,2025-04-01T19:48:00
HOP_CMP_202600014_2,CMP_202600014,2,ACC_001229,ACC_001229,4302.89,UPI,2025-04-01T18:03:00,2025-04-01T19:10:00
HOP_CMP_202600014_3,CMP_202600014,3,ACC_001229,ACC_001229,4302.89,IMPS,2025-04-01T18:13:00,2025-04-01T18:32:00
HOP_CMP_202600015_1,CMP_202600015,1,ACC_003055,ACC_001996,5872.27,IMPS,2025-04-07T18:27:00,2025-04-07T19:07:00
HOP_CMP_202600016_1,CMP_202600016,1,ACC_003056,ACC_002779,1147464.75,IMPS,2025-06-16T10:04:00,2025-06-16T10:37:00
HOP_CMP_202600017_1,CMP_202600017,1,ACC_003057,ACC_001229,196267.43,IMPS,2025-04-30T13:24:00,2025-04-30T14:32:00
HOP_CMP_202600017_2,CMP_202600017,2,ACC_001229,ACC_001244,188686.28,UPI,2025-04-30T13:25:00,2025-04-30T15:01:00
HOP_CMP_202600017_3,CMP_202600017,3,ACC_001244,ACC_001244,188686.28,UPI,2025-04-30T14:01:00,2025-04-30T15:00:00
HOP_CMP_202600018_1,CMP_202600018,1,ACC_003058,ACC_001964,22385.86,IMPS,2025-05-12T18:40:00,2025-05-12T19:03:00
HOP_CMP_202600018_2,CMP_202600018,2,ACC_001964,ACC_001945,22385.86,IMPS,2025-05-12T19:14:00,2025-05-12T20:33:00
HOP_CMP_202600019_1,CMP_202600019,1,ACC_003059,ACC_002290,2595.62,IMPS,2025-03-11T17:13:00,2025-03-11T18:48:00
HOP_CMP_202600019_2,CMP_202600019,2,ACC_002290,ACC_002319,2595.62,NEFT,2025-03-11T17:19:00,2025-03-11T18:16:00
HOP_CMP_202600020_1,CMP_202600020,1,ACC_003060,ACC_001021,49091.56,IMPS,2025-05-30T13:14:00,2025-05-30T14:24:00
HOP_CMP_202600020_2,CMP_202600020,2,ACC_001021,ACC_000782,49091.56,NEFT,2025-05-30T14:08:00,2025-05-30T15:33:00
HOP_CMP_202600021_1,CMP_202600021,1,ACC_003061,ACC_002992,40377.12,IMPS,2025-06-19T13:53:00,2025-06-19T15:29:00
HOP_CMP_202600021_2,CMP_202600021,2,ACC_002992,ACC_002983,40377.12,IMPS,2025-06-19T13:54:00,2025-06-19T14:34:00
HOP_CMP_202600022_1,CMP_202600022,1,ACC_003062,ACC_000330,16376.71,IMPS,2025-03-19T13:06:00,2025-03-19T14:33:00
HOP_CMP_202600022_2,CMP_202600022,2,ACC_000330,ACC_000330,10277.6,IMPS,2025-03-19T13:52:00,2025-03-19T15:19:00
HOP_CMP_202600022_3,CMP_202600022,3,ACC_000330,ACC_000272,9552.21,UPI,2025-03-19T13:56:00,2025-03-19T14:31:00
HOP_CMP_202600022_4,CMP_202600022,4,ACC_000272,ACC_000330,9552.21,IMPS,2025-03-19T13:58:00,2025-03-19T15:53:00
HOP_CMP_202600023_1,CMP_202600023,1,ACC_003063,ACC_001230,6728.96,UPI,2025-06-21T14:39:00,2025-06-21T16:12:00
HOP_CMP_202600023_2,CMP_202600023,2,ACC_001230,ACC_001236,6728.96,NEFT,2025-06-21T14:40:00,2025-06-21T15:28:00
HOP_CMP_202600024_1,CMP_202600024,1,ACC_003064,ACC_002224,14519.13,UPI,2025-02-09T15:44:00,2025-02-09T17:14:00
HOP_CMP_202600024_2,CMP_202600024,2,ACC_002224,ACC_002223,14519.13,IMPS,2025-02-09T15:46:00,2025-02-09T17:40:00
HOP_CMP_202600025_1,CMP_202600025,1,ACC_003065,ACC_001235,49926.66,NEFT,2025-05-11T14:37:00,2025-05-11T15:43:00
HOP_CMP_202600025_2,CMP_202600025,2,ACC_001235,ACC_001244,27621.84,IMPS,2025-05-11T14:42:00,2025-05-11T15:29:00
HOP_CMP_202600025_3,CMP_202600025,3,ACC_001244,ACC_001237,16834.86,IMPS,2025-05-11T14:43:00,2025-05-11T16:38:00
HOP_CMP_202600025_4,CMP_202600025,4,ACC_001237,ACC_001229,16834.86,IMPS,2025-05-11T14:44:00,2025-05-11T15:18:00
HOP_CMP_202600026_1,CMP_202600026,1,ACC_003066,ACC_002289,10399.41,NEFT,2025-05-26T13:22:00,2025-05-26T13:57:00
HOP_CMP_202600026_2,CMP_202600026,2,ACC_002289,ACC_002289,10015.28,IMPS,2025-05-26T13:42:00,2025-05-26T14:37:00
HOP_CMP_202600026_3,CMP_202600026,3,ACC_002289,ACC_002441,10015.28,UPI,2025-05-26T13:57:00,2025-05-26T15:56:00
HOP_CMP_202600027_1,CMP_202600027,1,ACC_003067,ACC_000791,13523.6,UPI,2025-03-20T16:27:00,2025-03-20T17:44:00
