entity_id,syndicate_id,operating_zone_id
ENT_00001,SYN_001,Z016
ENT_00002,SYN_001,Z016
ENT_00003,SYN_001,Z016
ENT_00004,SYN_001,Z016
ENT_00005,SYN_001,Z016
ENT_00006,SYN_001,Z016
ENT_00007,SYN_001,Z016
ENT_00008,SYN_001,Z016
ENT_00009,SYN_001,Z016
ENT_00010,SYN_001,Z016
ENT_00011,SYN_001,Z016
ENT_00012,SYN_001,Z016
ENT_00013,SYN_001,Z016
ENT_00014,SYN_001,Z016
ENT_00015,SYN_001,Z016
ENT_00016,SYN_001,Z016
ENT_00017,SYN_001,Z016
ENT_00018,SYN_001,Z016
ENT_00019,SYN_001,Z016
ENT_00020,SYN_001,Z016
ENT_00021,SYN_001,Z016
ENT_00022,SYN_001,Z016
ENT_00023,SYN_001,Z016
ENT_00024,SYN_001,Z016
ENT_00025,SYN_001,Z016
ENT_00026,SYN_001,Z016
ENT_00027,SYN_001,Z016
ENT_00028,SYN_001,Z016
ENT_00029,SYN_001,Z016
ENT_00030,SYN_001,Z016
ENT_00031,SYN_001,Z016
ENT_00032,SYN_002,Z015
ENT_00033,SYN_002,Z015
ENT_00034,SYN_002,Z015
ENT_00035,SYN_002,Z015
ENT_00036,SYN_002,Z015
ENT_00037,SYN_002,Z015
ENT_00038,SYN_002,Z015
ENT_00039,SYN_002,Z015
ENT_00040,SYN_002,Z015
ENT_00041,SYN_002,Z015
ENT_00042,SYN_002,Z015
ENT_00043,SYN_002,Z015
ENT_00044,SYN_002,Z015
ENT_00045,SYN_002,Z015
ENT_00046,SYN_002,Z015
ENT_00047,SYN_002,Z015
ENT_00048,SYN_002,Z015
ENT_00049,SYN_002,Z015
ENT_00050,SYN_002,Z015
ENT_00051,SYN_002,Z015
ENT_00052,SYN_002,Z015
ENT_00053,SYN_002,Z015
ENT_00054,SYN_002,Z015
ENT_00055,SYN_002,Z015
ENT_00056,SYN_002,Z015
ENT_00057,SYN_002,Z015
ENT_00058,SYN_002,Z015
ENT_00059,SYN_002,Z015
ENT_00060,SYN_002,Z015
ENT_00061,SYN_002,Z015
ENT_00062,SYN_002,Z015
ENT_00063,SYN_002,Z015
ENT_00064,SYN_002,Z015
ENT_00065,SYN_002,Z015
ENT_00066,SYN_002,Z015
ENT_00067,SYN_002,Z015
ENT_00068,SYN_002,Z015
ENT_00069,SYN_002,Z015
ENT_00070,SYN_002,Z015
ENT_00071,SYN_002,Z015
ENT_00072,SYN_002,Z015
ENT_00073,SYN_002,Z015
ENT_00074,SYN_002,Z015
ENT_00075,SYN_002,Z015
ENT_00076,SYN_002,Z015
ENT_00077,SYN_002,Z015
ENT_00078,SYN_002,Z015
ENT_00079,SYN_002,Z015
ENT_00080,SYN_002,Z015
ENT_00081,SYN_002,Z015
ENT_00082,SYN_002,Z015
ENT_00083,SYN_002,Z015
ENT_00084,SYN_002,Z015
ENT_00085,SYN_002,Z015
ENT_00086,SYN_002,Z015
ENT_00087,SYN_002,Z015
ENT_00088,SYN_002,Z015
ENT_00089,SYN_002,Z015
ENT_00090,SYN_002,Z015
ENT_00091,SYN_002,Z015
ENT_00092,SYN_002,Z015
ENT_00093,SYN_002,Z015
ENT_00094,SYN_002,Z015
ENT_00095,SYN_002,Z015
ENT_00096,SYN_002,Z015
ENT_00097,SYN_002,Z015
ENT_00098,SYN_002,Z015
ENT_00099,SYN_002,Z015
ENT_00100,SYN_002,Z015
ENT_00101,SYN_002,Z015
ENT_00102,SYN_002,Z015
ENT_00103,SYN_002,Z015
ENT_00104,SYN_002,Z015
ENT_00105,SYN_002,Z015
ENT_00106,SYN_002,Z015
ENT_00107,SYN_002,Z015
ENT_00108,SYN_002,Z015
ENT_00109,SYN_002,Z015
ENT_00110,SYN_002,Z015
ENT_00111,SYN_002,Z015
ENT_00112,SYN_002,Z015
ENT_00113,SYN_002,Z015
ENT_00114,SYN_002,Z015
ENT_00115,SYN_002,Z015
ENT_00116,SYN_002,Z015
ENT_00117,SYN_002,Z015
ENT_00118,SYN_002,Z015
ENT_00119,SYN_002,Z015
ENT_00120,SYN_003,Z036
ENT_00121,SYN_003,Z036
ENT_00122,SYN_003,Z052
ENT_00123,SYN_003,Z052
ENT_00124,SYN_003,Z036
ENT_00125,SYN_003,Z036
ENT_00126,SYN_003,Z052
ENT_00127,SYN_003,Z036
ENT_00128,SYN_003,Z036
ENT_00129,SYN_003,Z052
ENT_00130,SYN_003,Z036
ENT_00131,SYN_003,Z052
ENT_00132,SYN_003,Z052
ENT_00133,SYN_003,Z036
ENT_00134,SYN_003,Z036
ENT_00135,SYN_003,Z052
ENT_00136,SYN_003,Z052
ENT_00137,SYN_003,Z052
ENT_00138,SYN_003,Z052
ENT_00139,SYN_003,Z036
ENT_00140,SYN_003,Z036
ENT_00141,SYN_003,Z036
ENT_00142,SYN_003,Z036
ENT_00143,SYN_003,Z052
ENT_00144,SYN_003,Z036
ENT_00145,SYN_003,Z052
ENT_00146,SYN_003,Z036
ENT_00147,SYN_003,Z036
ENT_00148,SYN_003,Z052
ENT_00149,SYN_003,Z036
ENT_00150,SYN_003,Z052
ENT_00151,SYN_003,Z036
ENT_00152,SYN_003,Z036
ENT_00153,SYN_003,Z036
ENT_00154,SYN_004,Z075
ENT_00155,SYN_004,Z032
ENT_00156,SYN_004,Z010
ENT_00157,SYN_004,Z075
ENT_00158,SYN_004,Z032
ENT_00159,SYN_004,Z075
ENT_00160,SYN_004,Z010
ENT_00161,SYN_004,Z075
ENT_00162,SYN_004,Z032
ENT_00163,SYN_004,Z075
ENT_00164,SYN_004,Z032
ENT_00165,SYN_004,Z010
ENT_00166,SYN_004,Z010
ENT_00167,SYN_004,Z032
ENT_00168,SYN_004,Z075
ENT_00169,SYN_004,Z010
ENT_00170,SYN_004,Z032
ENT_00171,SYN_004,Z032
ENT_00172,SYN_004,Z010
ENT_00173,SYN_004,Z075
ENT_00174,SYN_004,Z075
ENT_00175,SYN_004,Z032
ENT_00176,SYN_004,Z010
ENT_00177,SYN_004,Z010
ENT_00178,SYN_004,Z032
ENT_00179,SYN_004,Z075
ENT_00180,SYN_004,Z032
ENT_00181,SYN_004,Z010
ENT_00182,SYN_004,Z032
ENT_00183,SYN_004,Z032
ENT_00184,SYN_004,Z032
ENT_00185,SYN_004,Z010
ENT_00186,SYN_004,Z010
ENT_00187,SYN_004,Z032
ENT_00188,SYN_004,Z032
ENT_00189,SYN_004,Z075
ENT_00190,SYN_004,Z032
ENT_00191,SYN_004,Z010
ENT_00192,SYN_004,Z010
ENT_00193,SYN_004,Z075
ENT_00194,SYN_004,Z010
ENT_00195,SYN_004,Z032
ENT_00196,SYN_004,Z075
ENT_00197,SYN_004,Z010
ENT_00198,SYN_004,Z010
ENT_00199,SYN_004,Z032
ENT_00200,SYN_004,Z032
ENT_00201,SYN_004,Z010
ENT_00202,SYN_004,Z032
ENT_00203,SYN_004,Z032
ENT_00204,SYN_004,Z010
ENT_00205,SYN_004,Z010
ENT_00206,SYN_004,Z075
ENT_00207,SYN_004,Z075
ENT_00208,SYN_004,Z032
ENT_00209,SYN_004,Z032
ENT_00210,SYN_004,Z032
ENT_00211,SYN_004,Z010
ENT_00212,SYN_004,Z010
ENT_00213,SYN_004,Z032
ENT_00214,SYN_004,Z032
ENT_00215,SYN_004,Z075
