complaint_id,typology_id,typology_name,amount_inr,victim_state,victim_district,incident_timestamp,complaint_timestamp,available_timestamp
CMP_202633875,TYP_02,Fake Loan App,4953.3,Punjab,Amritsar,2025-01-01T05:35:00,2025-01-01T06:35:00,2025-01-01 06:53:00
CMP_202610622,TYP_01,OTP / KYC Fraud,67943.4,Punjab,District-31,2025-01-01T05:27:00,2025-01-01T06:27:00,2025-01-01 07:00:00
CMP_202616887,TYP_04,Investment / Crypto Scam,386441.04,Gujarat,District-52,2025-01-01T03:15:00,2025-01-01T07:15:00,2025-01-01 07:53:00
CMP_202626910,TYP_01,OTP / KYC Fraud,6388.62,Maharashtra,Mumbai,2025-01-01T05:19:00,2025-01-01T09:19:00,2025-01-01 09:27:00
CMP_202636699,TYP_05,Sextortion,44777.7,Uttar Pradesh,Gorakhpur,2025-01-01T08:09:00,2025-01-01T09:09:00,2025-01-01 09:56:00
CMP_202632465,TYP_04,Investment / Crypto Scam,220071.73,Punjab,District-35,2025-01-01T06:40:00,2025-01-01T09:40:00,2025-01-01 10:17:00
CMP_202621445,TYP_02,Fake Loan App,7889.65,Telangana,Hyderabad,2025-01-01T08:16:00,2025-01-01T10:16:00,2025-01-01 10:28:00
CMP_202608922,TYP_04,Investment / Crypto Scam,265738.98,Rajasthan,District-64,2025-01-01T04:58:00,2025-01-01T09:58:00,2025-01-01 10:39:00
CMP_202626246,TYP_05,Sextortion,114324.72,Haryana,Gurugram,2025-01-01T07:43:00,2025-01-01T11:43:00,2025-01-01 12:11:00
CMP_202632382,TYP_02,Fake Loan App,82035.35,Punjab,District-31,2025-01-01T04:25:00,2025-01-01T11:25:00,2025-01-01 12:13:00
CMP_202618574,TYP_05,Sextortion,74758.97,Punjab,District-69,2025-01-01T10:49:00,2025-01-01T11:49:00,2025-01-01 12:13:00
CMP_202635508,TYP_02,Fake Loan App,15222.31,Madhya Pradesh,District-38,2025-01-01T10:12:00,2025-01-01T12:12:00,2025-01-01 12:24:00
CMP_202627436,TYP_01,OTP / KYC Fraud,21870.07,Karnataka,District-39,2025-01-01T09:36:00,2025-01-01T11:36:00,2025-01-01 12:30:00
CMP_202617728,TYP_04,Investment / Crypto Scam,821236.04,West Bengal,District-43,2025-01-01T09:25:00,2025-01-01T12:25:00,2025-01-01 13:05:00
CMP_202613217,TYP_06,Marketplace / OLX Fraud,4801.96,Odisha,District-28,2025-01-01T05:29:00,2025-01-01T12:29:00,2025-01-01 13:18:00
CMP_202629358,TYP_04,Investment / Crypto Scam,5000000.0,Uttar Pradesh,District-27,2025-01-01T12:18:00,2025-01-01T13:18:00,2025-01-01 13:23:00
CMP_202610481,TYP_05,Sextortion,95208.45,Jharkhand,Jamtara,2025-01-01T07:17:00,2025-01-01T13:17:00,2025-01-01 13:28:00
CMP_202623639,TYP_02,Fake Loan App,7440.58,Rajasthan,District-47,2025-01-01T11:53:00,2025-01-01T12:53:00,2025-01-01 13:28:00
