hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,bank_channel,event_timestamp,available_timestamp
HOP_CMP_202600003_1,CMP_202600003,1,ACC_024212,ACC_023990,26235.11,NEFT,2025-03-10T14:42:00,2025-03-10T15:43:00
HOP_CMP_202600004_1,CMP_202600004,1,ACC_024213,ACC_003047,4666.84,IMPS,2025-02-04T10:58:00,2025-02-04T12:49:00
HOP_CMP_202600004_2,CMP_202600004,2,ACC_003047,ACC_003054,2673.61,NEFT,2025-02-04T11:51:00,2025-02-04T12:48:00
HOP_CMP_202600004_3,CMP_202600004,3,ACC_003054,ACC_003066,2673.61,IMPS,2025-02-04T11:54:00,2025-02-04T12:41:00
HOP_CMP_202600005_1,CMP_202600005,1,ACC_024214,ACC_012614,4455.1,UPI,2025-04-06T12:11:00,2025-04-06T13:17:00
HOP_CMP_202600005_2,CMP_202600005,2,ACC_012614,ACC_012611,3725.69,NEFT,2025-04-06T12:23:00,2025-04-06T13:38:00
HOP_CMP_202600005_3,CMP_202600005,3,ACC_012611,ACC_012611,3655.31,UPI,2025-04-06T12:36:00,2025-04-06T13:59:00
HOP_CMP_202600005_4,CMP_202600005,4,ACC_012611,ACC_012625,3655.31,IMPS,2025-04-06T12:38:00,2025-04-06T13:25:00
HOP_CMP_202600006_1,CMP_202600006,1,ACC_024215,ACC_009028,7923.0,NEFT,2025-01-15T10:40:00,2025-01-15T12:32:00
HOP_CMP_202600006_2,CMP_202600006,2,ACC_009028,ACC_008830,4267.24,IMPS,2025-01-15T10:50:00,2025-01-15T12:12:00
HOP_CMP_202600006_3,CMP_202600006,3,ACC_008830,ACC_008830,2184.05,UPI,2025-01-15T11:06:00,2025-01-15T12:42:00
HOP_CMP_202600006_4,CMP_202600006,4,ACC_008830,ACC_008829,1395.06,IMPS,2025-01-15T11:25:00,2025-01-15T12:23:00
HOP_CMP_202600006_5,CMP_202600006,5,ACC_008829,ACC_008833,1021.37,UPI,2025-01-15T11:26:00,2025-01-15T12:25:00
HOP_CMP_202600006_6,CMP_202600006,6,ACC_008833,ACC_008849,1021.37,UPI,2025-01-15T11:28:00,2025-01-15T12:24:00
HOP_CMP_202600007_1,CMP_202600007,1,ACC_024216,ACC_015249,351811.42,NEFT,2025-01-20T06:18:00,2025-01-20T08:14:00
HOP_CMP_202600007_2,CMP_202600007,2,ACC_015249,ACC_015183,211708.55,UPI,2025-01-20T06:20:00,2025-01-20T07:36:00
HOP_CMP_202600007_3,CMP_202600007,3,ACC_015183,ACC_015177,211708.55,UPI,2025-01-20T06:35:00,2025-01-20T08:08:00
HOP_CMP_202600008_1,CMP_202600008,1,ACC_024217,ACC_018695,416511.88,UPI,2025-04-29T09:39:00,2025-04-29T11:25:00
HOP_CMP_202600008_2,CMP_202600008,2,ACC_018695,ACC_018693,335207.0,IMPS,2025-04-29T09:43:00,2025-04-29T10:01:00
HOP_CMP_202600008_3,CMP_202600008,3,ACC_018693,ACC_019022,195992.75,UPI,2025-04-29T09:44:00,2025-04-29T10:47:00
HOP_CMP_202600008_4,CMP_202600008,4,ACC_019022,ACC_018693,176733.41,UPI,2025-04-29T09:51:00,2025-04-29T10:31:00
HOP_CMP_202600008_5,CMP_202600008,5,ACC_018693,ACC_019022,176733.41,IMPS,2025-04-29T09:54:00,2025-04-29T11:07:00
HOP_CMP_202600009_1,CMP_202600009,1,ACC_024218,ACC_022142,15886.79,NEFT,2025-03-03T10:47:00,2025-03-03T11:23:00
HOP_CMP_202600009_2,CMP_202600009,2,ACC_022142,ACC_022126,12606.21,UPI,2025-03-03T11:30:00,2025-03-03T12:35:00
HOP_CMP_202600009_3,CMP_202600009,3,ACC_022126,ACC_022125,12606.21,UPI,2025-03-03T11:59:00,2025-03-03T12:26:00
HOP_CMP_202600010_1,CMP_202600010,1,ACC_024219,ACC_012197,18077.58,NEFT,2025-04-05T13:04:00,2025-04-05T14:23:00
HOP_CMP_202600010_2,CMP_202600010,2,ACC_012197,ACC_012195,14358.38,UPI,2025-04-05T13:06:00,2025-04-05T14:29:00
HOP_CMP_202600010_3,CMP_202600010,3,ACC_012195,ACC_012195,13114.99,UPI,2025-04-05T13:10:00,2025-04-05T14:23:00
HOP_CMP_202600010_4,CMP_202600010,4,ACC_012195,ACC_012195,13114.99,IMPS,2025-04-05T13:12:00,2025-04-05T14:50:00
HOP_CMP_202600011_1,CMP_202600011,1,ACC_024220,ACC_013275,817499.91,NEFT,2025-02-26T13:35:00,2025-02-26T14:03:00
HOP_CMP_202600012_1,CMP_202600012,1,ACC_024221,ACC_010415,211308.98,UPI,2025-01-13T11:26:00,2025-01-13T11:48:00
HOP_CMP_202600013_1,CMP_202600013,1,ACC_024222,ACC_010243,3744.73,UPI,2025-04-24T07:47:00,2025-04-24T09:29:00
HOP_CMP_202600013_2,CMP_202600013,2,ACC_010243,ACC_010242,3744.73,NEFT,2025-04-24T07:49:00,2025-04-24T08:23:00
HOP_CMP_202600014_1,CMP_202600014,1,ACC_024223,ACC_001878,15435.64,IMPS,2025-01-21T07:54:00,2025-01-21T08:22:00
HOP_CMP_202600014_2,CMP_202600014,2,ACC_001878,ACC_001534,15435.64,NEFT,2025-01-21T07:55:00,2025-01-21T08:46:00
HOP_CMP_202600015_1,CMP_202600015,1,ACC_024224,ACC_005045,282637.63,UPI,2025-02-25T18:10:00,2025-02-25T19:38:00
HOP_CMP_202600016_1,CMP_202600016,1,ACC_024225,ACC_013469,1201900.37,IMPS,2025-02-12T13:35:00,2025-02-12T14:38:00
HOP_CMP_202600017_1,CMP_202600017,1,ACC_024226,ACC_000794,7200.99,UPI,2025-02-03T15:21:00,2025-02-03T16:23:00
HOP_CMP_202600017_2,CMP_202600017,2,ACC_000794,ACC_000786,7200.99,UPI,2025-02-03T15:33:00,2025-02-03T15:58:00
HOP_CMP_202600018_1,CMP_202600018,1,ACC_024227,ACC_013481,48666.19,UPI,2025-03-26T18:00:00,2025-03-26T18:46:00
HOP_CMP_202600018_2,CMP_202600018,2,ACC_013481,ACC_013468,48666.19,IMPS,2025-03-26T18:01:00,2025-03-26T19:39:00
HOP_CMP_202600021_1,CMP_202600021,1,ACC_024230,ACC_006803,56907.34,IMPS,2025-02-03T15:13:00,2025-02-03T16:01:00
HOP_CMP_202600021_2,CMP_202600021,2,ACC_006803,ACC_006813,56907.34,IMPS,2025-02-03T15:27:00,2025-02-03T16:35:00
HOP_CMP_202600022_1,CMP_202600022,1,ACC_024231,ACC_017711,19835.08,IMPS,2025-04-14T10:23:00,2025-04-14T11:21:00
HOP_CMP_202600022_2,CMP_202600022,2,ACC_017711,ACC_017810,17478.5,IMPS,2025-04-14T10:39:00,2025-04-14T11:14:00
HOP_CMP_202600022_3,CMP_202600022,3,ACC_017810,ACC_017706,9776.52,IMPS,2025-04-14T10:40:00,2025-04-14T12:36:00
