account_id,type,first_seen,times_flagged
AC000001,mule,2026-09-07T07:40:00,5
AC000002,mule,2026-09-26T06:39:00,10
AC000003,mule,2026-09-15T01:40:00,3
AC000004,mule,2026-09-29T03:50:00,9
AC000005,mule,2026-09-16T04:48:00,8
AC000006,mule,2026-09-18T13:17:00,8
AC000007,mule,2026-09-29T04:05:00,12
AC000008,mule,2026-09-17T14:41:00,5
AC000009,mule,2026-09-20T11:56:00,5
AC000010,mule,2026-09-06T05:08:00,3
AC000011,mule,2026-09-23T02:30:00,2
AC000012,mule,2026-09-21T22:38:00,10
AC000013,mule,2026-09-08T07:49:00,12
AC000014,mule,2026-09-13T02:27:00,9
AC000015,mule,2026-09-21T20:11:00,9
AC000016,mule,2026-09-13T00:43:00,3
AC000017,mule,2026-09-18T05:10:00,6
AC000018,mule,2026-09-10T20:03:00,4
AC000019,mule,2026-09-08T03:08:00,7
AC000020,mule,2026-09-05T07:54:00,14
AC000021,mule,2026-09-09T20:17:00,7
AC000022,mule,2026-09-29T16:45:00,8
AC000023,mule,2026-09-11T19:43:00,6
AC000024,mule,2026-09-27T01:24:00,11
AC000025,mule,2026-09-10T07:33:00,12
AC000026,mule,2026-09-30T02:08:00,7
AC000027,mule,2026-09-13T09:28:00,4
AC000028,mule,2026-10-01T04:40:00,14
AC000029,mule,2026-09-21T00:15:00,3
AC000030,mule,2026-09-20T21:53:00,10
AC000031,mule,2026-09-24T12:41:00,11
AC000032,mule,2026-09-26T15:47:00,6
AC000033,mule,2026-09-07T03:57:00,7
AC000034,mule,2026-09-02T10:16:00,7
AC000035,mule,2026-09-29T04:37:00,9
AC000036,mule,2026-09-21T10:34:00,7
AC000037,mule,2026-09-15T09:02:00,9
AC000038,mule,2026-09-24T21:34:00,6
AC000039,mule,2026-09-27T11:13:00,8
AC000040,mule,2026-09-14T18:53:00,4
AC000041,mule,2026-09-08T07:47:00,6
AC000042,mule,2026-09-10T16:05:00,6
AC000043,mule,2026-09-19T23:40:00,7
