complaint_id,actual_zone_id,actual_time,atm_id,recovered
CYB-2026-10000,Z005,2026-09-06T08:12:00,ATM-Z005-01,False
CYB-2026-10001,Z000,2026-09-11T21:07:00,ATM-Z000-06,True
CYB-2026-10002,Z012,2026-09-08T09:52:00,ATM-Z012-03,True
CYB-2026-10003,Z007,2026-09-17T17:36:00,ATM-Z007-03,True
CYB-2026-10004,Z017,2026-09-08T17:45:00,ATM-Z017-03,True
CYB-2026-10005,Z014,2026-09-11T16:39:00,ATM-Z014-02,False
CYB-2026-10006,Z010,2026-09-25T19:02:00,ATM-Z010-06,False
CYB-2026-10007,Z000,2026-09-20T12:21:00,ATM-Z000-03,True
CYB-2026-10008,Z016,2026-09-06T09:37:00,ATM-Z016-02,True
CYB-2026-10009,Z006,2026-09-25T19:52:00,ATM-Z006-05,True
CYB-2026-10010,Z004,2026-09-22T22:15:00,ATM-Z004-02,False
CYB-2026-10011,Z009,2026-09-02T06:56:00,ATM-Z009-01,False
CYB-2026-10012,Z007,2026-09-17T10:30:00,ATM-Z007-02,True
CYB-2026-10013,Z007,2026-09-21T10:31:00,ATM-Z007-04,True
CYB-2026-10014,Z015,2026-09-03T22:39:00,ATM-Z015-05,True
CYB-2026-10015,Z000,2026-09-15T13:13:00,ATM-Z000-01,True
CYB-2026-10016,Z006,2026-09-12T11:28:00,ATM-Z006-03,True
CYB-2026-10017,Z000,2026-09-30T16:06:00,ATM-Z000-02,True
CYB-2026-10018,Z000,2026-09-12T09:25:00,ATM-Z000-06,False
CYB-2026-10019,Z006,2026-09-13T07:23:00,ATM-Z006-01,True
CYB-2026-10020,Z004,2026-09-03T06:46:00,ATM-Z004-03,True
CYB-2026-10021,Z004,2026-09-20T20:42:00,ATM-Z004-02,True
CYB-2026-10022,Z006,2026-09-20T01:18:00,ATM-Z006-02,False
CYB-2026-10023,Z005,2026-09-10T01:42:00,ATM-Z005-01,True
CYB-2026-10024,Z009,2026-09-09T10:20:00,ATM-Z009-05,True
CYB-2026-10025,Z005,2026-09-10T05:50:00,ATM-Z005-05,True
CYB-2026-10026,Z015,2026-09-16T05:05:00,ATM-Z015-04,True
CYB-2026-10027,Z005,2026-09-24T13:03:00,ATM-Z005-01,False
CYB-2026-10028,Z003,2026-09-29T03:10:00,ATM-Z003-02,True
CYB-2026-10029,Z001,2026-09-24T20:20:00,ATM-Z001-05,True
CYB-2026-10030,Z015,2026-09-29T04:29:00,ATM-Z015-03,True
CYB-2026-10031,Z012,2026-09-04T22:38:00,ATM-Z012-04,True
CYB-2026-10032,Z006,2026-09-20T10:41:00,ATM-Z006-05,True
CYB-2026-10033,Z013,2026-09-28T17:19:00,ATM-Z013-04,True
CYB-2026-10034,Z012,2026-09-25T13:57:00,ATM-Z012-04,False
CYB-2026-10035,Z007,2026-09-12T17:37:00,ATM-Z007-05,False
CYB-2026-10036,Z005,2026-09-22T19:48:00,ATM-Z005-05,False
CYB-2026-10037,Z003,2026-09-27T13:43:00,ATM-Z003-06,True
CYB-2026-10038,Z015,2026-09-08T08:04:00,ATM-Z015-04,True
CYB-2026-10039,Z005,2026-09-18T12:44:00,ATM-Z005-05,False
CYB-2026-10040,Z004,2026-09-05T04:13:00,ATM-Z004-06,True
CYB-2026-10041,Z015,2026-09-26T12:18:00,ATM-Z015-06,False
CYB-2026-10042,Z005,2026-09-23T08:28:00,ATM-Z005-06,True
CYB-2026-10043,Z015,2026-09-23T14:27:00,ATM-Z015-04,True
CYB-2026-10044,Z010,2026-09-29T22:18:00,ATM-Z010-04,True
CYB-2026-10045,Z013,2026-09-11T13:22:00,ATM-Z013-02,True
CYB-2026-10046,Z009,2026-09-04T23:43:00,ATM-Z009-03,True
CYB-2026-10047,Z004,2026-09-28T02:33:00,ATM-Z004-02,True
CYB-2026-10048,Z016,2026-09-27T04:23:00,ATM-Z016-04,False
CYB-2026-10049,Z001,2026-09-20T23:17:00,ATM-Z001-06,True
CYB-2026-10050,Z009,2026-09-09T13:01:00,ATM-Z009-04,False
CYB-2026-10051,Z009,2026-09-16T00:05:00,ATM-Z009-06,True
CYB-2026-10052,Z005,2026-09-08T11:49:00,ATM-Z005-04,True
CYB-2026-10053,Z008,2026-09-24T10:50:00,ATM-Z008-06,False
CYB-2026-10054,Z012,2026-09-27T16:08:00,ATM-Z012-05,True
CYB-2026-10055,Z014,2026-09-03T07:43:00,ATM-Z014-04,False
CYB-2026-10056,Z015,2026-09-19T23:44:00,ATM-Z015-01,True
CYB-2026-10057,Z001,2026-09-30T00:38:00,ATM-Z001-01,False
CYB-2026-10058,Z002,2026-09-20T22:20:00,ATM-Z002-06,True
CYB-2026-10059,Z015,2026-09-21T08:58:00,ATM-Z015-04,True
CYB-2026-10060,Z010,2026-09-14T18:52:00,ATM-Z010-03,False
CYB-2026-10061,Z004,2026-09-29T12:49:00,ATM-Z004-03,True
CYB-2026-10062,Z007,2026-09-09T08:54:00,ATM-Z007-03,False
CYB-2026-10063,Z007,2026-09-01T22:05:00,ATM-Z007-05,True
CYB-2026-10064,Z010,2026-09-16T05:05:00,ATM-Z010-04,True
CYB-2026-10065,Z019,2026-09-25T20:30:00,ATM-Z019-01,True
CYB-2026-10066,Z005,2026-09-21T11:08:00,ATM-Z005-01,True
CYB-2026-10067,Z005,2026-09-07T00:36:00,ATM-Z005-03,True
CYB-2026-10068,Z000,2026-09-02T10:24:00,ATM-Z000-04,True
CYB-2026-10069,Z012,2026-09-28T08:11:00,ATM-Z012-06,False
CYB-2026-10070,Z005,2026-09-21T11:09:00,ATM-Z005-04,True
CYB-2026-10071,Z015,2026-09-05T19:46:00,ATM-Z015-06,True
CYB-2026-10072,Z003,2026-09-05T10:48:00,ATM-Z003-06,False
CYB-2026-10073,Z008,2026-09-28T15:15:00,ATM-Z008-04,True
CYB-2026-10074,Z010,2026-09-29T05:52:00,ATM-Z010-04,False
CYB-2026-10075,Z001,2026-09-30T02:09:00,ATM-Z001-05,True
CYB-2026-10076,Z003,2026-09-08T08:30:00,ATM-Z003-03,False
CYB-2026-10077,Z012,2026-09-06T10:47:00,ATM-Z012-04,True
CYB-2026-10078,Z000,2026-09-01T14:54:00,ATM-Z000-06,True
CYB-2026-10079,Z006,2026-09-18T13:57:00,ATM-Z006-04,False
CYB-2026-10080,Z003,2026-09-09T03:12:00,ATM-Z003-06,False
CYB-2026-10081,Z013,2026-09-10T02:35:00,ATM-Z013-06,True
CYB-2026-10082,Z012,2026-09-27T16:14:00,ATM-Z012-01,True
CYB-2026-10083,Z003,2026-09-15T09:41:00,ATM-Z003-05,True
CYB-2026-10084,Z014,2026-09-03T03:13:00,ATM-Z014-06,False
CYB-2026-10085,Z001,2026-09-09T03:16:00,ATM-Z001-06,True
CYB-2026-10086,Z009,2026-09-16T06:55:00,ATM-Z009-05,True
CYB-2026-10087,Z002,2026-09-15T08:48:00,ATM-Z002-03,True
CYB-2026-10088,Z007,2026-09-10T00:50:00,ATM-Z007-06,True
CYB-2026-10089,Z015,2026-09-21T05:05:00,ATM-Z015-03,True
CYB-2026-10090,Z001,2026-09-21T08:15:00,ATM-Z001-05,True
CYB-2026-10091,Z004,2026-09-24T17:40:00,ATM-Z004-02,True
CYB-2026-10092,Z009,2026-09-02T15:27:00,ATM-Z009-02,True
CYB-2026-10093,Z015,2026-09-21T17:26:00,ATM-Z015-01,False
CYB-2026-10094,Z015,2026-09-30T08:27:00,ATM-Z015-05,True
CYB-2026-10095,Z012,2026-09-20T05:39:00,ATM-Z012-02,True
CYB-2026-10096,Z014,2026-09-05T23:53:00,ATM-Z014-06,False
CYB-2026-10097,Z004,2026-09-04T04:14:00,ATM-Z004-03,True
CYB-2026-10098,Z003,2026-10-01T02:38:00,ATM-Z003-04,True
CYB-2026-10099,Z008,2026-09-24T23:58:00,ATM-Z008-03,True
CYB-2026-10100,Z000,2026-09-04T16:25:00,ATM-Z000-06,True
CYB-2026-10101,Z008,2026-09-27T04:09:00,ATM-Z008-03,True
CYB-2026-10102,Z006,2026-09-06T10:57:00,ATM-Z006-02,True
CYB-2026-10103,Z008,2026-09-09T04:13:00,ATM-Z008-02,True
CYB-2026-10104,Z006,2026-09-23T19:30:00,ATM-Z006-01,False
CYB-2026-10105,Z016,2026-09-30T13:20:00,ATM-Z016-02,False
CYB-2026-10106,Z001,2026-09-11T13:15:00,ATM-Z001-01,True
CYB-2026-10107,Z006,2026-09-28T04:53:00,ATM-Z006-04,True
CYB-2026-10108,Z010,2026-09-14T10:49:00,ATM-Z010-04,True
CYB-2026-10109,Z004,2026-09-10T15:50:00,ATM-Z004-05,False
CYB-2026-10110,Z018,2026-09-22T12:52:00,ATM-Z018-02,True
CYB-2026-10111,Z015,2026-09-24T18:09:00,ATM-Z015-05,False
CYB-2026-10112,Z002,2026-09-20T21:16:00,ATM-Z002-05,True
CYB-2026-10113,Z012,2026-09-14T00:02:00,ATM-Z012-05,True
CYB-2026-10114,Z010,2026-09-03T03:20:00,ATM-Z010-05,False
CYB-2026-10115,Z011,2026-09-15T18:36:00,ATM-Z011-04,True
CYB-2026-10116,Z005,2026-09-29T22:21:00,ATM-Z005-02,True
CYB-2026-10117,Z004,2026-09-02T17:48:00,ATM-Z004-06,True
CYB-2026-10118,Z010,2026-09-07T13:31:00,ATM-Z010-06,True
CYB-2026-10119,Z005,2026-09-30T13:08:00,ATM-Z005-03,True
CYB-2026-10120,Z012,2026-09-13T18:02:00,ATM-Z012-02,False
CYB-2026-10121,Z013,2026-09-13T14:29:00,ATM-Z013-01,False
CYB-2026-10122,Z002,2026-09-22T20:16:00,ATM-Z002-02,True
CYB-2026-10123,Z000,2026-09-02T23:03:00,ATM-Z000-01,False
CYB-2026-10124,Z010,2026-09-28T16:57:00,ATM-Z010-06,True
CYB-2026-10125,Z003,2026-09-09T18:50:00,ATM-Z003-04,False
CYB-2026-10126,Z003,2026-09-16T07:22:00,ATM-Z003-04,False
CYB-2026-10127,Z005,2026-09-28T20:46:00,ATM-Z005-01,True
CYB-2026-10128,Z003,2026-09-04T01:37:00,ATM-Z003-06,True
CYB-2026-10129,Z002,2026-09-24T12:03:00,ATM-Z002-03,True
CYB-2026-10130,Z001,2026-09-11T04:08:00,ATM-Z001-06,True
CYB-2026-10131,Z001,2026-09-20T10:03:00,ATM-Z001-05,True
CYB-2026-10132,Z004,2026-09-11T10:28:00,ATM-Z004-01,True
CYB-2026-10133,Z007,2026-09-29T07:54:00,ATM-Z007-02,True
CYB-2026-10134,Z002,2026-09-07T15:35:00,ATM-Z002-02,True
CYB-2026-10135,Z012,2026-09-11T08:40:00,ATM-Z012-03,True
