complaint_id,filed_time,fraud_type,amount,victim_district
CYB-2026-10000,2026-09-06T07:36:00,SIM-Swap,2000,Kolkata
CYB-2026-10001,2026-09-11T20:07:00,Loan-App Fraud,250000,Nagpur
CYB-2026-10002,2026-09-08T07:49:00,Investment Fraud,15000,Lucknow
CYB-2026-10003,2026-09-17T17:00:00,Job Fraud,15000,Mumbai City
CYB-2026-10004,2026-09-08T15:39:00,Investment Fraud,48000,Ahmedabad
CYB-2026-10005,2026-09-11T16:10:00,OTP Fraud,2000,Lucknow
CYB-2026-10006,2026-09-25T18:42:00,Job Fraud,25000,Surat
CYB-2026-10007,2026-09-20T11:06:00,SIM-Swap,5000,Patna
CYB-2026-10008,2026-09-06T07:50:00,Investment Fraud,25000,Bhopal
CYB-2026-10009,2026-09-25T19:08:00,Loan-App Fraud,250000,Central Delhi
CYB-2026-10010,2026-09-22T21:08:00,Loan-App Fraud,250000,Bengaluru Urban
CYB-2026-10011,2026-09-02T04:58:00,Investment Fraud,250000,Chennai
CYB-2026-10012,2026-09-17T08:59:00,Romance Scam,75000,Bhopal
CYB-2026-10013,2026-09-21T10:01:00,OTP Fraud,250000,Mumbai Suburban
CYB-2026-10014,2026-09-03T22:02:00,Romance Scam,8000,Patna
CYB-2026-10015,2026-09-15T12:32:00,OTP Fraud,2000,South Delhi
CYB-2026-10016,2026-09-12T10:55:00,Job Fraud,2000,Nagpur
CYB-2026-10017,2026-09-30T15:03:00,SIM-Swap,25000,Chandigarh
CYB-2026-10018,2026-09-12T08:49:00,OTP Fraud,48000,Jaipur
CYB-2026-10019,2026-09-13T06:52:00,Loan-App Fraud,5000,Mumbai Suburban
CYB-2026-10020,2026-09-03T06:09:00,Investment Fraud,2000,Lucknow
CYB-2026-10021,2026-09-20T19:26:00,Loan-App Fraud,8000,South Delhi
CYB-2026-10022,2026-09-20T00:20:00,Loan-App Fraud,2000,Bengaluru Urban
CYB-2026-10023,2026-09-10T00:56:00,SIM-Swap,75000,Lucknow
CYB-2026-10024,2026-09-09T09:02:00,Investment Fraud,25000,South Delhi
CYB-2026-10025,2026-09-10T05:12:00,SIM-Swap,48000,Bhopal
CYB-2026-10026,2026-09-16T02:16:00,Romance Scam,75000,Jaipur
CYB-2026-10027,2026-09-24T12:20:00,Loan-App Fraud,120000,Bengaluru Urban
CYB-2026-10028,2026-09-29T01:40:00,Romance Scam,5000,Chandigarh
CYB-2026-10029,2026-09-24T19:44:00,SIM-Swap,120000,South Delhi
CYB-2026-10030,2026-09-29T03:10:00,Romance Scam,250000,Bhopal
CYB-2026-10031,2026-09-04T22:00:00,Job Fraud,8000,Pune
CYB-2026-10032,2026-09-20T08:54:00,Loan-App Fraud,75000,Surat
CYB-2026-10033,2026-09-28T16:54:00,Job Fraud,15000,Kochi
CYB-2026-10034,2026-09-25T13:24:00,Job Fraud,2000,Patna
CYB-2026-10035,2026-09-12T17:32:00,Romance Scam,5000,Kochi
CYB-2026-10036,2026-09-22T19:15:00,Loan-App Fraud,5000,Surat
CYB-2026-10037,2026-09-27T10:55:00,Investment Fraud,75000,Patna
CYB-2026-10038,2026-09-08T05:06:00,Romance Scam,75000,Bengaluru Urban
CYB-2026-10039,2026-09-18T11:57:00,SIM-Swap,48000,Central Delhi
CYB-2026-10040,2026-09-05T03:30:00,Loan-App Fraud,15000,Bhopal
CYB-2026-10041,2026-09-26T10:32:00,Romance Scam,250000,Ahmedabad
CYB-2026-10042,2026-09-23T06:52:00,Loan-App Fraud,25000,Surat
CYB-2026-10043,2026-09-23T14:10:00,SIM-Swap,5000,Central Delhi
CYB-2026-10044,2026-09-29T21:31:00,Job Fraud,2000,Pune
CYB-2026-10045,2026-09-11T12:30:00,Job Fraud,250000,Patna
CYB-2026-10046,2026-09-04T22:40:00,Investment Fraud,8000,Chennai
CYB-2026-10047,2026-09-28T02:12:00,SIM-Swap,15000,Bhopal
