hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,delay_minutes,timestamp
HOP_CMP_2026001_1,CMP_2026001,1,ACC_1085,ACC_1053,540438.72,4,2026-09-09T09:17:31.971575
HOP_CMP_2026001_2,CMP_2026001,2,ACC_1053,ACC_1109,518821.17,3,2026-09-09T09:20:31.971575
HOP_CMP_2026002_1,CMP_2026002,1,ACC_1116,ACC_1037,114290.88,12,2026-09-12T00:10:31.971575
HOP_CMP_2026003_1,CMP_2026003,1,ACC_1011,ACC_1026,255855.36,3,2026-09-07T14:23:31.971575
HOP_CMP_2026003_2,CMP_2026003,2,ACC_1026,ACC_1001,245621.15,8,2026-09-07T14:31:31.971575
HOP_CMP_2026004_1,CMP_2026004,1,ACC_1049,ACC_1087,307590.72,4,2026-09-06T06:03:31.971575
HOP_CMP_2026004_2,CMP_2026004,2,ACC_1087,ACC_1011,295287.09,18,2026-09-06T06:21:31.971575
HOP_CMP_2026005_1,CMP_2026005,1,ACC_1040,ACC_1118,442358.4,6,2026-09-06T12:25:31.971575
HOP_CMP_2026005_2,CMP_2026005,2,ACC_1118,ACC_1025,424664.06,5,2026-09-06T12:30:31.971575
HOP_CMP_2026006_1,CMP_2026006,1,ACC_1054,ACC_1110,74433.6,5,2026-09-07T14:40:31.971575
HOP_CMP_2026007_1,CMP_2026007,1,ACC_1053,ACC_1072,139578.24,5,2026-09-09T04:34:31.971575
HOP_CMP_2026007_2,CMP_2026007,2,ACC_1072,ACC_1046,133995.11,3,2026-09-09T04:37:31.971575
HOP_CMP_2026008_1,CMP_2026008,1,ACC_1081,ACC_1057,95375.04,3,2026-09-10T03:50:31.971575
HOP_CMP_2026008_2,CMP_2026008,2,ACC_1057,ACC_1111,91560.04,3,2026-09-10T03:53:31.971575
HOP_CMP_2026009_1,CMP_2026009,1,ACC_1107,ACC_1109,244842.24,3,2026-09-11T09:41:31.971575
HOP_CMP_2026010_1,CMP_2026010,1,ACC_1085,ACC_1047,190752.0,7,2026-09-09T05:25:31.971575
HOP_CMP_2026011_1,CMP_2026011,1,ACC_1073,ACC_1058,106247.04,6,2026-09-09T06:13:31.971575
HOP_CMP_2026011_2,CMP_2026011,2,ACC_1058,ACC_1057,101997.16,8,2026-09-09T06:21:31.971575
HOP_CMP_2026012_1,CMP_2026012,1,ACC_1049,ACC_1072,428775.36,4,2026-09-11T05:20:31.971575
HOP_CMP_2026012_2,CMP_2026012,2,ACC_1072,ACC_1104,411624.35,3,2026-09-11T05:23:31.971575
HOP_CMP_2026012_3,CMP_2026012,3,ACC_1104,ACC_1005,395159.37,9,2026-09-11T05:32:31.971575
HOP_CMP_2026013_1,CMP_2026013,1,ACC_1072,ACC_1096,268472.64,3,2026-09-07T20:55:31.971575
HOP_CMP_2026013_2,CMP_2026013,2,ACC_1096,ACC_1001,257733.73,3,2026-09-07T20:58:31.971575
HOP_CMP_2026013_3,CMP_2026013,3,ACC_1001,ACC_1101,247424.39,4,2026-09-07T21:02:31.971575
HOP_CMP_2026014_1,CMP_2026014,1,ACC_1115,ACC_1092,203226.24,3,2026-09-10T00:11:31.971575
HOP_CMP_2026015_1,CMP_2026015,1,ACC_1049,ACC_1085,283226.88,6,2026-09-10T00:59:31.971575
HOP_CMP_2026015_2,CMP_2026015,2,ACC_1085,ACC_1091,271897.8,5,2026-09-10T01:04:31.971575
HOP_CMP_2026016_1,CMP_2026016,1,ACC_1002,ACC_1104,173828.16,11,2026-09-08T03:31:31.971575
