entity_id,phone_hash,device_id,primary_zone_id
ENT_01,SHA256_4e8843f2,DEV_ee6074cc,Z13
ENT_02,SHA256_f09cbebe,DEV_1a6a243f,Z02
ENT_03,SHA256_1d4f3fbf,DEV_0a9e0e30,Z06
ENT_04,SHA256_2a104bb6,DEV_c959a3f9,Z13
ENT_05,SHA256_c7b7c11c,DEV_fadbd8d0,Z01
ENT_06,SHA256_a775e4a6,DEV_091d9f49,Z13
ENT_07,SHA256_c8ca0494,DEV_881813f1,Z09
ENT_08,SHA256_690db4a4,DEV_fcde50c1,Z15
ENT_09,SHA256_10b62835,DEV_040c13eb,Z10
ENT_10,SHA256_fbe323c3,DEV_e247e57f,Z14
ENT_11,SHA256_c85717c1,DEV_adf986ae,Z18
ENT_12,SHA256_0751003f,DEV_269dce46,Z16
ENT_13,SHA256_44e9f290,DEV_f92f460e,Z05
ENT_14,SHA256_79dc1a7f,DEV_3af594cf,Z07
